match,home_team,away_team,market_name,player_name,outcome_name,player_team,line,over_price,agency,opposition_team,under_price
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,Alperen Sengun,Player points + assists + rebounds - A. Sengün 45+ (Match),Houston Rockets,44.5,4.6,Betr,Sacramento Kings,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,NA,Player points + assists + rebounds - Amen Thompson 20+ (Match),NA,19.5,1.07,Betr,NA,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,NA,Player points + assists + rebounds - Amen Thompson 25+ (Match),NA,24.5,1.3,Betr,NA,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,NA,Player points + assists + rebounds - Amen Thompson 30+ (Match),NA,29.5,1.95,Betr,NA,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,NA,Player points + assists + rebounds - Amen Thompson 35+ (Match),NA,34.5,3.6,Betr,NA,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,NA,Player points + assists + rebounds - Amen Thompson 40+ (Match),NA,39.5,7.5,Betr,NA,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,DeMar DeRozan,Player points + assists + rebounds - D. DeRozan 20+ (Match),Sacramento Kings,19.5,1.07,Betr,Houston Rockets,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,DeMar DeRozan,Player points + assists + rebounds - D. DeRozan 25+ (Match),Sacramento Kings,24.5,1.31,Betr,Houston Rockets,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,DeMar DeRozan,Player points + assists + rebounds - D. DeRozan 30+ (Match),Sacramento Kings,29.5,2,Betr,Houston Rockets,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,DeMar DeRozan,Player points + assists + rebounds - D. DeRozan 35+ (Match),Sacramento Kings,34.5,3.7,Betr,Houston Rockets,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,DeMar DeRozan,Player points + assists + rebounds - D. DeRozan 40+ (Match),Sacramento Kings,39.5,8,Betr,Houston Rockets,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,Zach LaVine,Player points + assists + rebounds - Z. LaVine 20+ (Match),Sacramento Kings,19.5,1.06,Betr,Houston Rockets,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,Zach LaVine,Player points + assists + rebounds - Z. LaVine 25+ (Match),Sacramento Kings,24.5,1.29,Betr,Houston Rockets,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,Zach LaVine,Player points + assists + rebounds - Z. LaVine 30+ (Match),Sacramento Kings,29.5,1.83,Betr,Houston Rockets,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,Zach LaVine,Player points + assists + rebounds - Z. LaVine 35+ (Match),Sacramento Kings,34.5,3.1,Betr,Houston Rockets,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,Zach LaVine,Player points + assists + rebounds - Z. LaVine 40+ (Match),Sacramento Kings,39.5,6.25,Betr,Houston Rockets,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,Malik Monk,Player points + assists + rebounds - M. Monk 20+ (Match),Sacramento Kings,19.5,1.11,Betr,Houston Rockets,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,Malik Monk,Player points + assists + rebounds - M. Monk 25+ (Match),Sacramento Kings,24.5,1.42,Betr,Houston Rockets,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,Malik Monk,Player points + assists + rebounds - M. Monk 30+ (Match),Sacramento Kings,29.5,2.2,Betr,Houston Rockets,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,Malik Monk,Player points + assists + rebounds - M. Monk 35+ (Match),Sacramento Kings,34.5,4.1,Betr,Houston Rockets,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,Domantas Sabonis,Player points + assists + rebounds - Domantas Sabonis 25+ (Match),Sacramento Kings,24.5,1.04,Betr,Houston Rockets,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,Domantas Sabonis,Player points + assists + rebounds - Domantas Sabonis 30+ (Match),Sacramento Kings,29.5,1.21,Betr,Houston Rockets,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,Domantas Sabonis,Player points + assists + rebounds - Domantas Sabonis 35+ (Match),Sacramento Kings,34.5,1.61,Betr,Houston Rockets,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,Domantas Sabonis,Player points + assists + rebounds - Domantas Sabonis 40+ (Match),Sacramento Kings,39.5,2.6,Betr,Houston Rockets,NA
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player PRAs,Domantas Sabonis,Player points + assists + rebounds - Domantas Sabonis 45+ (Match),Sacramento Kings,44.5,5.1,Betr,Houston Rockets,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Paul George,Player points + assists + rebounds - P. George 20+ (Match),Philadelphia 76ers,19.5,1.06,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Paul George,Player points + assists + rebounds - P. George 25+ (Match),Philadelphia 76ers,24.5,1.28,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Paul George,Player points + assists + rebounds - P. George 30+ (Match),Philadelphia 76ers,29.5,1.83,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Paul George,Player points + assists + rebounds - P. George 35+ (Match),Philadelphia 76ers,34.5,3.25,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Paul George,Player points + assists + rebounds - P. George 40+ (Match),Philadelphia 76ers,39.5,6.75,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Quentin Grimes,Player points + assists + rebounds - Quentin Grimes 20+ (Match),Philadelphia 76ers,19.5,1.83,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Quentin Grimes,Player points + assists + rebounds - Quentin Grimes 15+ (Match),Philadelphia 76ers,14.5,1.22,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Quentin Grimes,Player points + assists + rebounds - Quentin Grimes 25+ (Match),Philadelphia 76ers,24.5,3.8,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Quentin Grimes,Player points + assists + rebounds - Quentin Grimes 30+ (Match),Philadelphia 76ers,29.5,9,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Tyrese Maxey,Player points + assists + rebounds - T. Maxey 30+ (Match),Philadelphia 76ers,29.5,1.15,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Tyrese Maxey,Player points + assists + rebounds - T. Maxey 35+ (Match),Philadelphia 76ers,34.5,1.43,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Tyrese Maxey,Player points + assists + rebounds - T. Maxey 40+ (Match),Philadelphia 76ers,39.5,2.1,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Tyrese Maxey,Player points + assists + rebounds - T. Maxey 45+ (Match),Philadelphia 76ers,44.5,3.5,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Tyrese Maxey,Player points + assists + rebounds - T. Maxey 50+ (Match),Philadelphia 76ers,49.5,6.75,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Kelly Oubre Jr.,Player points + assists + rebounds - K. Oubre Jr. 15+ (Match),Philadelphia 76ers,14.5,1.04,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Kelly Oubre Jr.,Player points + assists + rebounds - K. Oubre Jr. 20+ (Match),Philadelphia 76ers,19.5,1.23,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Kelly Oubre Jr.,Player points + assists + rebounds - K. Oubre Jr. 25+ (Match),Philadelphia 76ers,24.5,1.83,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Kelly Oubre Jr.,Player points + assists + rebounds - K. Oubre Jr. 30+ (Match),Philadelphia 76ers,29.5,3.6,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Kelly Oubre Jr.,Player points + assists + rebounds - K. Oubre Jr. 35+ (Match),Philadelphia 76ers,34.5,8.5,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Stephen Curry,Player points + assists + rebounds - Stephen Curry 30+ (Match),Golden State Warriors,29.5,1.15,Betr,Philadelphia 76ers,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Stephen Curry,Player points + assists + rebounds - Stephen Curry 35+ (Match),Golden State Warriors,34.5,1.42,Betr,Philadelphia 76ers,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Stephen Curry,Player points + assists + rebounds - Stephen Curry 40+ (Match),Golden State Warriors,39.5,2,Betr,Philadelphia 76ers,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Stephen Curry,Player points + assists + rebounds - Stephen Curry 45+ (Match),Golden State Warriors,44.5,3.2,Betr,Philadelphia 76ers,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Stephen Curry,Player points + assists + rebounds - Stephen Curry 50+ (Match),Golden State Warriors,49.5,5.9,Betr,Philadelphia 76ers,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Draymond Green,Player points + assists + rebounds - Draymond Green 15+ (Match),Golden State Warriors,14.5,1.04,Betr,Philadelphia 76ers,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Draymond Green,Player points + assists + rebounds - Draymond Green 20+ (Match),Golden State Warriors,19.5,1.25,Betr,Philadelphia 76ers,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Draymond Green,Player points + assists + rebounds - Draymond Green 25+ (Match),Golden State Warriors,24.5,1.91,Betr,Philadelphia 76ers,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Draymond Green,Player points + assists + rebounds - Draymond Green 30+ (Match),Golden State Warriors,29.5,3.8,Betr,Philadelphia 76ers,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Draymond Green,Player points + assists + rebounds - Draymond Green 35+ (Match),Golden State Warriors,34.5,9,Betr,Philadelphia 76ers,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Guerschon Yabusele,Player points + assists + rebounds - Guerschon Yabusele 14+ (Match),Philadelphia 76ers,13.5,1.26,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Guerschon Yabusele,Player points + assists + rebounds - Guerschon Yabusele 16+ (Match),Philadelphia 76ers,15.5,1.51,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Guerschon Yabusele,Player points + assists + rebounds - Guerschon Yabusele 18+ (Match),Philadelphia 76ers,17.5,1.91,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Guerschon Yabusele,Player points + assists + rebounds - Guerschon Yabusele 20+ (Match),Philadelphia 76ers,19.5,2.55,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Guerschon Yabusele,Player points + assists + rebounds - Guerschon Yabusele 22+ (Match),Philadelphia 76ers,21.5,3.6,Betr,Golden State Warriors,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Brandin Podziemski,Player points + assists + rebounds - Brandin Podziemski 15+ (Match),Golden State Warriors,14.5,1.06,Betr,Philadelphia 76ers,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Brandin Podziemski,Player points + assists + rebounds - Brandin Podziemski 20+ (Match),Golden State Warriors,19.5,1.31,Betr,Philadelphia 76ers,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Brandin Podziemski,Player points + assists + rebounds - Brandin Podziemski 25+ (Match),Golden State Warriors,24.5,2.1,Betr,Philadelphia 76ers,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Brandin Podziemski,Player points + assists + rebounds - Brandin Podziemski 30+ (Match),Golden State Warriors,29.5,4.3,Betr,Philadelphia 76ers,NA
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Player PRAs,Brandin Podziemski,Player points + assists + rebounds - Brandin Podziemski 35+ (Match),Golden State Warriors,34.5,9.5,Betr,Philadelphia 76ers,NA
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Desmond Bane,NA,Memphis Grizzlies,30.5,1.54,Betr,San Antonio Spurs,2.4
