match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency,prop_id,under_prop_id
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Tari Eason,Houston Rockets,Minnesota Timberwolves,Player Blocks,1.5,4,NA,TAB,634424,NA
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Naz Reid,Minnesota Timberwolves,Houston Rockets,Player Blocks,1.5,4.25,NA,TAB,634421,NA
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Anthony Edwards,Minnesota Timberwolves,Houston Rockets,Player Blocks,1.5,4.75,NA,TAB,634418,NA
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,NA,NA,NA,Player Blocks,1.5,5,NA,TAB,634425,NA
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Jabari Smith Jr.,Houston Rockets,Minnesota Timberwolves,Player Blocks,1.5,6,NA,TAB,634420,NA
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Nickeil Alexander-Walker,Minnesota Timberwolves,Houston Rockets,Player Blocks,1.5,6.5,NA,TAB,634422,NA
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Donte DiVincenzo,Minnesota Timberwolves,Houston Rockets,Player Blocks,1.5,8.5,NA,TAB,634423,NA
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Rudy Gobert,Minnesota Timberwolves,Houston Rockets,Player Blocks,3.5,4.5,NA,TAB,634426,NA
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Victor Wembanyama,San Antonio Spurs,Utah Jazz,Player Blocks,1.5,1.08,NA,TAB,636166,NA
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Walker Kessler,Utah Jazz,San Antonio Spurs,Player Blocks,1.5,1.38,NA,TAB,636162,NA
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,John Collins,Utah Jazz,San Antonio Spurs,Player Blocks,1.5,4.25,NA,TAB,636164,NA
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Zach Collins,San Antonio Spurs,Utah Jazz,Player Blocks,1.5,5.25,NA,TAB,636174,NA
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Drew Eubanks,Utah Jazz,San Antonio Spurs,Player Blocks,1.5,5.5,NA,TAB,636172,NA
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,NA,NA,NA,Player Blocks,1.5,5.5,NA,TAB,636168,NA
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Stephon Castle,San Antonio Spurs,Utah Jazz,Player Blocks,1.5,7,NA,TAB,636170,NA
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Victor Wembanyama,San Antonio Spurs,Utah Jazz,Player Blocks,3.5,1.65,NA,TAB,636184,NA
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Walker Kessler,Utah Jazz,San Antonio Spurs,Player Blocks,3.5,3.3,NA,TAB,636182,NA
Phoenix Suns v Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,NA,NA,NA,Player Blocks,1.5,5.5,NA,TAB,637497,NA
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,NA,NA,NA,Player Blocks,0.5,3,1.34,TAB,562361,562979
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Bobby Portis,Milwaukee Bucks,Miami Heat,Player Blocks,0.5,2,1.75,TAB,563321,562247
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Bam Adebayo,Miami Heat,Milwaukee Bucks,Player Blocks,0.5,1.5,2.5,TAB,564072,565699
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Brook Lopez,Milwaukee Bucks,Miami Heat,Player Blocks,1.5,1.45,NA,TAB,564256,NA
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Brook Lopez,Milwaukee Bucks,Miami Heat,Player Blocks,2.5,2.25,1.55,TAB,564257,565219
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Haywood Highsmith,Miami Heat,Milwaukee Bucks,Player Blocks,0.5,2.4,1.48,TAB,574570,574389
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Jimmy Butler,Miami Heat,Milwaukee Bucks,Player Blocks,0.5,2.9,1.36,TAB,563303,563383
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Anthony Edwards,Minnesota Timberwolves,Houston Rockets,Player Blocks,0.5,1.85,1.87,TAB,570708,569892
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Alperen Sengun,Houston Rockets,Minnesota Timberwolves,Player Blocks,0.5,1.45,NA,TAB,570178,NA
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,NA,NA,NA,Player Blocks,0.5,1.95,1.8,TAB,575698,575624
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,NA,NA,NA,Player Blocks,0.5,2.6,1.45,TAB,575161,575026
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Jalen Smith,Chicago Bulls,NA,Player Blocks,0.5,2.15,1.62,TAB,570976,570124
Minnesota Timberwolves v Houston Rockets,Minnesota Timberwolves,Houston Rockets,Jaden McDaniels,Minnesota Timberwolves,Houston Rockets,Player Blocks,0.5,1.62,2.25,TAB,572473,571844
