match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team,under_price,outcome_name_unders,outcome_id_unders,fixed_market_id_unders
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,AJ Green,Milwaukee Bucks,11.5,1.26,BetRight,55328415,AJ Green 12+,1,300161690,Oklahoma City Thunder,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,AJ Green,Milwaukee Bucks,13.5,1.48,BetRight,55328415,AJ Green 14+,2,300161687,Oklahoma City Thunder,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,AJ Green,Milwaukee Bucks,15.5,1.83,BetRight,55328415,AJ Green 16+,3,300161689,Oklahoma City Thunder,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,AJ Green,Milwaukee Bucks,17.5,2.3,BetRight,55328415,AJ Green 18+,4,300161688,Oklahoma City Thunder,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,AJ Green,Milwaukee Bucks,19.5,3.1,BetRight,55328415,AJ Green 20+,5,300161691,Oklahoma City Thunder,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Kyle Kuzma,Milwaukee Bucks,14.5,1.11,BetRight,55328416,Kyle Kuzma 15+,2,300161693,Oklahoma City Thunder,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Kyle Kuzma,Milwaukee Bucks,19.5,1.57,BetRight,55328416,Kyle Kuzma 20+,3,300161695,Oklahoma City Thunder,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Kyle Kuzma,Milwaukee Bucks,24.5,3,BetRight,55328416,Kyle Kuzma 25+,4,300161692,Oklahoma City Thunder,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Kyle Kuzma,Milwaukee Bucks,29.5,7,BetRight,55328416,Kyle Kuzma 30+,5,300161694,Oklahoma City Thunder,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Kevin Porter Jr.,Milwaukee Bucks,19.5,1.03,BetRight,55328417,Kevin Porter Jr. 20+,6,300193001,Oklahoma City Thunder,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Kevin Porter Jr.,Milwaukee Bucks,24.5,1.17,BetRight,55328417,Kevin Porter Jr. 25+,1,300161697,Oklahoma City Thunder,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Kevin Porter Jr.,Milwaukee Bucks,29.5,1.57,BetRight,55328417,Kevin Porter Jr. 30+,2,300161699,Oklahoma City Thunder,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Kevin Porter Jr.,Milwaukee Bucks,34.5,2.63,BetRight,55328417,Kevin Porter Jr. 35+,3,300161701,Oklahoma City Thunder,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Kevin Porter Jr.,Milwaukee Bucks,39.5,5.25,BetRight,55328417,Kevin Porter Jr. 40+,4,300161698,Oklahoma City Thunder,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,LeBron James,Los Angeles Lakers,29.5,1.11,BetRight,55328650,Lebron James 30+,2,300162643,Dallas Mavericks,NA,NA,NA,NA
