match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency,prop_id,under_prop_id
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Alperen Sengun,Houston Rockets,Dallas Mavericks,Player Points,14.5,1.17,NA,TAB,634718,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Amen Thompson,Houston Rockets,Dallas Mavericks,Player Points,14.5,1.42,NA,TAB,634709,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Cooper Flagg,Dallas Mavericks,Houston Rockets,Player Points,14.5,1.62,NA,TAB,634713,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,P.J. Washington,Dallas Mavericks,Houston Rockets,Player Points,14.5,1.8,NA,TAB,634714,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,D'Angelo Russell,Dallas Mavericks,Houston Rockets,Player Points,14.5,1.9,1.95,TAB,634721,554993
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Tari Eason,Houston Rockets,Dallas Mavericks,Player Points,14.5,2,1.75,TAB,634719,597614
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Klay Thompson,Dallas Mavericks,Houston Rockets,Player Points,14.5,2.8,NA,TAB,634715,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Reed Sheppard,Houston Rockets,Dallas Mavericks,Player Points,14.5,3.3,NA,TAB,634720,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Max Christie,Dallas Mavericks,Houston Rockets,Player Points,14.5,3.3,NA,TAB,634716,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Josh Okogie,Houston Rockets,Dallas Mavericks,Player Points,14.5,4,NA,TAB,634711,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Naji Marshall,Dallas Mavericks,Houston Rockets,Player Points,14.5,4.5,NA,TAB,634722,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Brandon Williams,Dallas Mavericks,Houston Rockets,Player Points,14.5,5.25,NA,TAB,634723,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Daniel Gafford,Dallas Mavericks,Houston Rockets,Player Points,14.5,9,NA,TAB,634717,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Kevin Durant,Houston Rockets,Dallas Mavericks,Player Points,19.5,1.22,NA,TAB,634725,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Alperen Sengun,Houston Rockets,Dallas Mavericks,Player Points,19.5,1.62,NA,TAB,634732,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Amen Thompson,Houston Rockets,Dallas Mavericks,Player Points,19.5,2.4,NA,TAB,634726,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Cooper Flagg,Dallas Mavericks,Houston Rockets,Player Points,19.5,2.8,NA,TAB,634728,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,P.J. Washington,Dallas Mavericks,Houston Rockets,Player Points,19.5,3.3,NA,TAB,634729,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,D'Angelo Russell,Dallas Mavericks,Houston Rockets,Player Points,19.5,3.5,NA,TAB,634734,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Tari Eason,Houston Rockets,Dallas Mavericks,Player Points,19.5,4,NA,TAB,634733,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Klay Thompson,Dallas Mavericks,Houston Rockets,Player Points,19.5,6,NA,TAB,634730,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Max Christie,Dallas Mavericks,Houston Rockets,Player Points,19.5,8.5,NA,TAB,634731,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Kevin Durant,Houston Rockets,Dallas Mavericks,Player Points,24.5,1.62,NA,TAB,634737,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Alperen Sengun,Houston Rockets,Dallas Mavericks,Player Points,24.5,2.7,NA,TAB,634741,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Amen Thompson,Houston Rockets,Dallas Mavericks,Player Points,24.5,5.25,NA,TAB,634738,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,Cooper Flagg,Dallas Mavericks,Houston Rockets,Player Points,24.5,6,NA,TAB,634739,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,D'Angelo Russell,Dallas Mavericks,Houston Rockets,Player Points,24.5,7,NA,TAB,634742,NA
Houston Rockets v Dallas Mavericks,Houston Rockets,Dallas Mavericks,P.J. Washington,Dallas Mavericks,Houston Rockets,Player Points,24.5,7.5,NA,TAB,634740,NA
