match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Vince Williams Jr.,Memphis Grizzlies,Cleveland Cavaliers,5.5,6.4,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Max Strus,Cleveland Cavaliers,Memphis Grizzlies,5.5,6.8,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Jaren Jackson Jr.,Memphis Grizzlies,Cleveland Cavaliers,5.5,8.75,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Jaren Jackson Jr.,Memphis Grizzlies,Cleveland Cavaliers,6.5,19,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Vince Williams Jr.,Memphis Grizzlies,Cleveland Cavaliers,6.5,12,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Donovan Mitchell,Cleveland Cavaliers,Memphis Grizzlies,6.5,6,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Max Strus,Cleveland Cavaliers,Memphis Grizzlies,6.5,13,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,John Collins,Utah Jazz,Philadelphia 76ers,2.5,4,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,Tobias Harris,Philadelphia 76ers,Utah Jazz,2.5,2.6,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,Keyonte George,Utah Jazz,Philadelphia 76ers,2.5,3.05,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,Lauri Markkanen,Utah Jazz,Philadelphia 76ers,2.5,1.5,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,Jordan Clarkson,Utah Jazz,Philadelphia 76ers,2.5,2.4,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,Collin Sexton,Utah Jazz,Philadelphia 76ers,2.5,2.25,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,Tyrese Maxey,Philadelphia 76ers,Utah Jazz,2.5,1.12,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,Kelly Oubre Jr.,Philadelphia 76ers,Utah Jazz,2.5,2.05,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,Tyrese Maxey,Philadelphia 76ers,Utah Jazz,9.5,14,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,Kelly Oubre Jr.,Philadelphia 76ers,Utah Jazz,0.5,1.03,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,Jordan Clarkson,Utah Jazz,Philadelphia 76ers,0.5,1.07,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,Collin Sexton,Utah Jazz,Philadelphia 76ers,0.5,1.05,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,Kelly Olynyk,Utah Jazz,Philadelphia 76ers,0.5,1.7,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,Ochai Agbaji,Utah Jazz,Philadelphia 76ers,0.5,1.5699999999999998,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,Tobias Harris,Philadelphia 76ers,Utah Jazz,0.5,1.1,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,John Collins,Utah Jazz,Philadelphia 76ers,0.5,1.25,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,Keyonte George,Utah Jazz,Philadelphia 76ers,0.5,1.16,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Vince Williams Jr.,Memphis Grizzlies,Cleveland Cavaliers,7.5,26,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Donovan Mitchell,Cleveland Cavaliers,Memphis Grizzlies,7.5,10.5,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Jaren Jackson Jr.,Memphis Grizzlies,Cleveland Cavaliers,3.5,2.75,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Santi Aldama,Memphis Grizzlies,Cleveland Cavaliers,3.5,3.2,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Caris LeVert,Cleveland Cavaliers,Memphis Grizzlies,3.5,4.5,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Darius Garland,Cleveland Cavaliers,Memphis Grizzlies,3.5,5.8,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Max Strus,Cleveland Cavaliers,Memphis Grizzlies,3.5,2.4,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,David Roddy,Memphis Grizzlies,Cleveland Cavaliers,3.5,8,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Vince Williams Jr.,Memphis Grizzlies,Cleveland Cavaliers,3.5,2.3,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Donovan Mitchell,Cleveland Cavaliers,Memphis Grizzlies,3.5,1.72,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,Rui Hachimura,Los Angeles Lakers,Boston Celtics,0.5,1.2,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,Kristaps Porzingis,Boston Celtics,Los Angeles Lakers,0.5,1.03,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,Christian Wood,Los Angeles Lakers,Boston Celtics,0.5,1.22,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,Austin Reaves,Los Angeles Lakers,Boston Celtics,0.5,1.04,NA,Neds
