match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Mark Williams,Charlotte Hornets,24.5,4,NA,Pointsbet,Washington Wizards,2174460,79672391,77,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Mark Williams,Charlotte Hornets,29.5,10.5,NA,Pointsbet,Washington Wizards,2174460,79672391,78,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Miles Bridges,Charlotte Hornets,14.5,1.06,NA,Pointsbet,Washington Wizards,2174460,79672391,51,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Miles Bridges,Charlotte Hornets,19.5,1.27,NA,Pointsbet,Washington Wizards,2174460,79672391,52,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Miles Bridges,Charlotte Hornets,24.5,1.87,NA,Pointsbet,Washington Wizards,2174460,79672391,53,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Miles Bridges,Charlotte Hornets,29.5,3.6,NA,Pointsbet,Washington Wizards,2174460,79672391,54,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Miles Bridges,Charlotte Hornets,34.5,8.5,NA,Pointsbet,Washington Wizards,2174460,79672391,55,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Nick Smith Jr.,Charlotte Hornets,9.5,1.33,NA,Pointsbet,Washington Wizards,2174460,79672391,86,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Nick Smith Jr.,Charlotte Hornets,14.5,2.4,NA,Pointsbet,Washington Wizards,2174460,79672391,87,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Nick Smith Jr.,Charlotte Hornets,19.5,5.25,NA,Pointsbet,Washington Wizards,2174460,79672391,88,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Nick Smith Jr.,Charlotte Hornets,4.5,1.04,NA,Pointsbet,Washington Wizards,2174460,79672391,85,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Vasilije Micic,NA,9.5,1.44,NA,Pointsbet,NA,2174460,79672391,98,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Vasilije Micic,NA,14.5,2.85,NA,Pointsbet,NA,2174460,79672391,99,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Vasilije Micic,NA,19.5,8.5,NA,Pointsbet,NA,2174460,79672391,100,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Vasilije Micic,NA,4.5,1.05,NA,Pointsbet,NA,2174460,79672391,97,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Ausar Thompson,Detroit Pistons,9.5,1.77,NA,Pointsbet,Atlanta Hawks,2174461,79672251,74,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Ausar Thompson,Detroit Pistons,14.5,4.75,NA,Pointsbet,Atlanta Hawks,2174461,79672251,75,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Ausar Thompson,Detroit Pistons,4.5,1.08,NA,Pointsbet,Atlanta Hawks,2174461,79672251,73,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Cade Cunningham,Detroit Pistons,19.5,1.13,NA,Pointsbet,Atlanta Hawks,2174461,79672251,40,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Cade Cunningham,Detroit Pistons,24.5,1.5,NA,Pointsbet,Atlanta Hawks,2174461,79672251,41,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Cade Cunningham,Detroit Pistons,29.5,2.4,NA,Pointsbet,Atlanta Hawks,2174461,79672251,42,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Cade Cunningham,Detroit Pistons,34.5,4.75,NA,Pointsbet,Atlanta Hawks,2174461,79672251,43,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Cade Cunningham,Detroit Pistons,39.5,11,NA,Pointsbet,Atlanta Hawks,2174461,79672251,44,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,De'Andre Hunter,Atlanta Hawks,9.5,1.04,NA,Pointsbet,Detroit Pistons,2174461,79672251,86,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,De'Andre Hunter,Atlanta Hawks,14.5,1.25,NA,Pointsbet,Detroit Pistons,2174461,79672251,87,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,De'Andre Hunter,Atlanta Hawks,19.5,1.83,NA,Pointsbet,Detroit Pistons,2174461,79672251,88,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,De'Andre Hunter,Atlanta Hawks,24.5,3.6,NA,Pointsbet,Detroit Pistons,2174461,79672251,89,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,De'Andre Hunter,Atlanta Hawks,29.5,9,NA,Pointsbet,Detroit Pistons,2174461,79672251,90,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Dyson Daniels,Atlanta Hawks,9.5,1.16,NA,Pointsbet,Detroit Pistons,2174461,79672251,14,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Dyson Daniels,Atlanta Hawks,14.5,1.83,NA,Pointsbet,Detroit Pistons,2174461,79672251,15,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Dyson Daniels,Atlanta Hawks,19.5,4,NA,Pointsbet,Detroit Pistons,2174461,79672251,16,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Dyson Daniels,Atlanta Hawks,24.5,11,NA,Pointsbet,Detroit Pistons,2174461,79672251,17,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Jalen Duren,Detroit Pistons,9.5,1.24,NA,Pointsbet,Atlanta Hawks,2174461,79672251,50,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Jalen Duren,Detroit Pistons,14.5,2.3,NA,Pointsbet,Atlanta Hawks,2174461,79672251,51,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Jalen Duren,Detroit Pistons,19.5,6,NA,Pointsbet,Atlanta Hawks,2174461,79672251,52,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Malik Beasley,Detroit Pistons,9.5,1.14,NA,Pointsbet,Atlanta Hawks,2174461,79672251,122,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Malik Beasley,Detroit Pistons,14.5,1.63,NA,Pointsbet,Atlanta Hawks,2174461,79672251,123,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Malik Beasley,Detroit Pistons,19.5,2.9,NA,Pointsbet,Atlanta Hawks,2174461,79672251,124,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Malik Beasley,Detroit Pistons,24.5,6.5,NA,Pointsbet,Atlanta Hawks,2174461,79672251,125,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Onyeka Okongwu,Atlanta Hawks,9.5,1.29,NA,Pointsbet,Detroit Pistons,2174461,79672251,98,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Onyeka Okongwu,Atlanta Hawks,14.5,2.35,NA,Pointsbet,Detroit Pistons,2174461,79672251,99,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Onyeka Okongwu,Atlanta Hawks,19.5,5.75,NA,Pointsbet,Detroit Pistons,2174461,79672251,100,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Tim Hardaway Jr.,Detroit Pistons,9.5,1.48,NA,Pointsbet,Atlanta Hawks,2174461,79672251,62,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Tim Hardaway Jr.,Detroit Pistons,14.5,2.85,NA,Pointsbet,Atlanta Hawks,2174461,79672251,63,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Tim Hardaway Jr.,Detroit Pistons,19.5,8,NA,Pointsbet,Atlanta Hawks,2174461,79672251,64,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Tim Hardaway Jr.,Detroit Pistons,4.5,1.05,NA,Pointsbet,Atlanta Hawks,2174461,79672251,61,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Tobias Harris,Detroit Pistons,9.5,1.18,NA,Pointsbet,Atlanta Hawks,2174461,79672251,26,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Tobias Harris,Detroit Pistons,14.5,1.83,NA,Pointsbet,Atlanta Hawks,2174461,79672251,27,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Tobias Harris,Detroit Pistons,19.5,4,NA,Pointsbet,Atlanta Hawks,2174461,79672251,28,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Tobias Harris,Detroit Pistons,24.5,12,NA,Pointsbet,Atlanta Hawks,2174461,79672251,29,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Trae Young,Atlanta Hawks,14.5,1.06,NA,Pointsbet,Detroit Pistons,2174461,79672251,3,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Trae Young,Atlanta Hawks,19.5,1.31,NA,Pointsbet,Detroit Pistons,2174461,79672251,4,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Trae Young,Atlanta Hawks,24.5,2,NA,Pointsbet,Detroit Pistons,2174461,79672251,5,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Trae Young,Atlanta Hawks,29.5,3.7,NA,Pointsbet,Detroit Pistons,2174461,79672251,6,NA
