match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Los Angeles Lakers v Utah Jazz,Los Angeles Lakers,Utah Jazz,Player Blocks,Ace Bailey,Utah Jazz,Los Angeles Lakers,0.5,2.65,NA,Neds
Los Angeles Lakers v Utah Jazz,Los Angeles Lakers,Utah Jazz,Player Blocks,Jusuf Nurki<c4><87>,NA,NA,0.5,2.02,NA,Neds
Los Angeles Lakers v Utah Jazz,Los Angeles Lakers,Utah Jazz,Player Blocks,Luka Don<c4><8d>i<c4><87>,NA,NA,0.5,1.88,NA,Neds
Los Angeles Lakers v Utah Jazz,Los Angeles Lakers,Utah Jazz,Player Blocks,Svi Mykhailiuk,Utah Jazz,Los Angeles Lakers,0.5,2.8,NA,Neds
Los Angeles Lakers v Utah Jazz,Los Angeles Lakers,Utah Jazz,Player Blocks,Isaiah Collier,Utah Jazz,Los Angeles Lakers,0.5,3.1,NA,Neds
Los Angeles Lakers v Utah Jazz,Los Angeles Lakers,Utah Jazz,Player Blocks,Luka Don<c4><8d>i<c4><87>,NA,NA,1.5,5,NA,Neds
Los Angeles Lakers v Utah Jazz,Los Angeles Lakers,Utah Jazz,Player Blocks,Deandre Ayton,Los Angeles Lakers,Utah Jazz,1.5,4,NA,Neds
Los Angeles Lakers v Utah Jazz,Los Angeles Lakers,Utah Jazz,Player Blocks,Lauri Markkanen,Utah Jazz,Los Angeles Lakers,1.5,6.75,NA,Neds
Los Angeles Lakers v Utah Jazz,Los Angeles Lakers,Utah Jazz,Player Blocks,Jusuf Nurki<c4><87>,NA,NA,1.5,5.8,NA,Neds
Los Angeles Lakers v Utah Jazz,Los Angeles Lakers,Utah Jazz,Player Blocks,LeBron James,Los Angeles Lakers,Utah Jazz,1.5,4,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Zach Edey,Memphis Grizzlies,San Antonio Spurs,3.5,7.25,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Jaren Jackson Jr.,Memphis Grizzlies,San Antonio Spurs,3.5,11.5,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Luke Kornet,San Antonio Spurs,Memphis Grizzlies,3.5,5.8,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Jordan Walsh,Boston Celtics,Brooklyn Nets,1.5,4,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Michael Porter Jr.,Brooklyn Nets,Boston Celtics,1.5,6.6,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Derrick White,Boston Celtics,Brooklyn Nets,1.5,2.45,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Nicolas Claxton,NA,NA,1.5,1.62,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Day'Ron Sharpe,Brooklyn Nets,Boston Celtics,1.5,3,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Noah Clowney,Brooklyn Nets,Boston Celtics,1.5,4.4,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Ziaire Williams,Brooklyn Nets,Boston Celtics,1.5,6.8,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Neemias Queta,Boston Celtics,Brooklyn Nets,1.5,2,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Neemias Queta,Boston Celtics,Brooklyn Nets,2.5,3.8,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Nicolas Claxton,NA,NA,2.5,2.7,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Derrick White,Boston Celtics,Brooklyn Nets,2.5,5.25,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Day'Ron Sharpe,Brooklyn Nets,Boston Celtics,2.5,7.5,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Jordan Walsh,Boston Celtics,Brooklyn Nets,2.5,12,NA,Neds
