match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Detroit Pistons v Indiana Pacers,Detroit Pistons,Indiana Pacers,Player Points,Andrew Nembhard,Indiana Pacers,Detroit Pistons,9.5,1.09,NA,Neds
Detroit Pistons v Indiana Pacers,Detroit Pistons,Indiana Pacers,Player Points,Isaiah Jackson,Indiana Pacers,Detroit Pistons,9.5,2.05,NA,Neds
Detroit Pistons v Indiana Pacers,Detroit Pistons,Indiana Pacers,Player Points,Ausar Thompson,Detroit Pistons,Indiana Pacers,9.5,1.2,NA,Neds
Detroit Pistons v Indiana Pacers,Detroit Pistons,Indiana Pacers,Player Points,T.J. McConnell,Indiana Pacers,Detroit Pistons,9.5,1.78,1.9100000000000001,Neds
Detroit Pistons v Indiana Pacers,Detroit Pistons,Indiana Pacers,Player Points,Jalen Duren,Detroit Pistons,Indiana Pacers,9.5,1.04,NA,Neds
New Orleans Pelicans v Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,Player Points,Ajay Mitchell,Oklahoma City Thunder,New Orleans Pelicans,15.5,1.8199999999999998,1.87,Neds
New Orleans Pelicans v Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,Player Points,Luguentz Dort,Oklahoma City Thunder,New Orleans Pelicans,15.5,7.5,NA,Neds
New Orleans Pelicans v Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,Player Points,Trey Murphy,NA,NA,15.5,1.65,NA,Neds
New Orleans Pelicans v Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,Player Points,Herb Jones,NA,NA,15.5,3.8,NA,Neds
New Orleans Pelicans v Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,Player Points,Jose Alvarado,New Orleans Pelicans,Oklahoma City Thunder,15.5,11.5,NA,Neds
New Orleans Pelicans v Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,Player Points,Jeremiah Fears,New Orleans Pelicans,Oklahoma City Thunder,15.5,2.2,NA,Neds
New Orleans Pelicans v Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,Player Points,Cason Wallace,Oklahoma City Thunder,New Orleans Pelicans,15.5,7.25,NA,Neds
New Orleans Pelicans v Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,Player Points,Zion Williamson,New Orleans Pelicans,Oklahoma City Thunder,15.5,1.53,NA,Neds
New Orleans Pelicans v Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,Player Points,Isaiah Hartenstein,Oklahoma City Thunder,New Orleans Pelicans,15.5,3,NA,Neds
New Orleans Pelicans v Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,Player Points,Chet Holmgren,Oklahoma City Thunder,New Orleans Pelicans,15.5,1.52,NA,Neds
New Orleans Pelicans v Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,Player Points,Isaiah Joe,Oklahoma City Thunder,New Orleans Pelicans,15.5,2.25,NA,Neds
New Orleans Pelicans v Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,Player Points,Saddiq Bey,New Orleans Pelicans,Oklahoma City Thunder,15.5,3.05,NA,Neds
New Orleans Pelicans v Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,Player Points,Derik Queen,New Orleans Pelicans,Oklahoma City Thunder,15.5,2.55,NA,Neds
Denver Nuggets v Chicago Bulls,Denver Nuggets,Chicago Bulls,Player Points,Nikola Vu<c4><8d>evi<c4><87>,NA,NA,14.5,1.62,NA,Neds
Denver Nuggets v Chicago Bulls,Denver Nuggets,Chicago Bulls,Player Points,Josh Giddey,Chicago Bulls,Denver Nuggets,14.5,1.38,NA,Neds
