match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders
Portland Trail Blazers v Dallas Mavericks,Portland Trail Blazers,Dallas Mavericks,Player Blocks,Donovan Clingan,Portland Trail Blazers,1.5,1.65,NA,Sportsbet,Dallas Mavericks,16,19476,15453272,565476094,2700155275,NA
Portland Trail Blazers v Dallas Mavericks,Portland Trail Blazers,Dallas Mavericks,Player Blocks,Robert Williams III,Portland Trail Blazers,1.5,2.2,NA,Sportsbet,Dallas Mavericks,16,19476,15453272,565476094,2700154429,NA
Portland Trail Blazers v Dallas Mavericks,Portland Trail Blazers,Dallas Mavericks,Player Blocks,Cooper Flagg,Dallas Mavericks,2.5,7.75,NA,Sportsbet,Portland Trail Blazers,16,19476,15453272,565476095,2700152878,NA
Portland Trail Blazers v Dallas Mavericks,Portland Trail Blazers,Dallas Mavericks,Player Blocks,Donovan Clingan,Portland Trail Blazers,2.5,2.95,NA,Sportsbet,Dallas Mavericks,16,19476,15453272,565476095,2700155276,NA
Portland Trail Blazers v Dallas Mavericks,Portland Trail Blazers,Dallas Mavericks,Player Blocks,Robert Williams III,Portland Trail Blazers,2.5,4.6,NA,Sportsbet,Dallas Mavericks,16,19476,15453272,565476095,2700154430,NA
Los Angeles Lakers v Brooklyn Nets,Los Angeles Lakers,Brooklyn Nets,Player Blocks,Deandre Ayton,Los Angeles Lakers,1.5,3.35,NA,Sportsbet,Brooklyn Nets,16,19476,15453259,565472274,2700135886,NA
Los Angeles Lakers v Brooklyn Nets,Los Angeles Lakers,Brooklyn Nets,Player Blocks,Deandre Ayton,Los Angeles Lakers,0.5,1.48,NA,Sportsbet,Brooklyn Nets,16,19476,15453259,565472273,2700135885,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Player Blocks,Victor Wembanyama,San Antonio Spurs,1.5,1.07,NA,Sportsbet,Milwaukee Bucks,16,19476,15461593,565664183,2701069123,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Player Blocks,Victor Wembanyama,San Antonio Spurs,4.5,2.8,NA,Sportsbet,Milwaukee Bucks,16,19476,15461593,565664186,2701069126,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Player Blocks,Victor Wembanyama,San Antonio Spurs,3.5,1.79,NA,Sportsbet,Milwaukee Bucks,16,19476,15461593,565664185,2701069125,NA
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Player Blocks,Victor Wembanyama,San Antonio Spurs,2.5,1.3,NA,Sportsbet,Milwaukee Bucks,16,19476,15461593,565664184,2701069124,NA
Indiana Pacers v Los Angeles Clippers,Indiana Pacers,Los Angeles Clippers,Player Blocks,Brook Lopez,Los Angeles Clippers,1.5,2.45,1.5,Sportsbet,Indiana Pacers,16,19476,15453244,565441082,2699996107,2699996108
Indiana Pacers v Los Angeles Clippers,Indiana Pacers,Los Angeles Clippers,Player Blocks,Jay Huff,Indiana Pacers,1.5,1.96,1.8,Sportsbet,Los Angeles Clippers,16,19476,15453244,565471963,2700134465,2700134466
Cleveland Cavaliers v Miami Heat,Cleveland Cavaliers,Miami Heat,Player Blocks,Evan Mobley,Cleveland Cavaliers,1.5,2,1.78,Sportsbet,Miami Heat,16,19476,15453247,565472690,2700137553,2700137554
Boston Celtics v Atlanta Hawks,Boston Celtics,Atlanta Hawks,Player Blocks,Derrick White,Boston Celtics,1.5,2.75,1.4,Sportsbet,Atlanta Hawks,16,19476,15453248,565474989,2700147989,2700147990
Boston Celtics v Atlanta Hawks,Boston Celtics,Atlanta Hawks,Player Blocks,Neemias Queta,Boston Celtics,1.5,2.5,1.48,Sportsbet,Atlanta Hawks,16,19476,15453248,565474990,2700147991,2700147992
Oklahoma City Thunder v Chicago Bulls,Oklahoma City Thunder,Chicago Bulls,Player Blocks,Matas Buzelis,Chicago Bulls,1.5,2.08,1.72,Sportsbet,Oklahoma City Thunder,16,19476,15453250,565478714,2700163383,2700163384
Oklahoma City Thunder v Chicago Bulls,Oklahoma City Thunder,Chicago Bulls,Player Blocks,Chet Holmgren,Oklahoma City Thunder,0.5,1.001,1.001,Sportsbet,Chicago Bulls,16,19476,15453250,565478715,2700163385,2700163386
Memphis Grizzlies v Houston Rockets,Memphis Grizzlies,Houston Rockets,Player Blocks,Alperen Sengun,Houston Rockets,1.5,2.9,1.36,Sportsbet,Memphis Grizzlies,16,19476,15453251,565476163,2700153080,2700153081
Toronto Raptors v New Orleans Pelicans,Toronto Raptors,New Orleans Pelicans,Player Blocks,Scottie Barnes,Toronto Raptors,1.5,2.6,1.45,Sportsbet,New Orleans Pelicans,16,19476,15453252,565451239,2700035390,2700035391
Golden State Warriors v Washington Wizards,Golden State Warriors,Washington Wizards,Player Blocks,Kristaps Porzi<c5><86><c4><a3>is,NA,1.5,2.15,1.64,Sportsbet,NA,16,19476,15453255,565478289,2700161985,2700161986
Portland Trail Blazers v Dallas Mavericks,Portland Trail Blazers,Dallas Mavericks,Player Blocks,Robert Williams III,Portland Trail Blazers,1.5,2.2,1.6,Sportsbet,Dallas Mavericks,16,19476,15453272,565476535,2700154433,2700154434
Portland Trail Blazers v Dallas Mavericks,Portland Trail Blazers,Dallas Mavericks,Player Blocks,Donovan Clingan,Portland Trail Blazers,1.5,1.64,2.15,Sportsbet,Dallas Mavericks,16,19476,15453272,565476716,2700155279,2700155280
Milwaukee Bucks v San Antonio Spurs,Milwaukee Bucks,San Antonio Spurs,Player Blocks,Victor Wembanyama,San Antonio Spurs,3.5,1.8,1.96,Sportsbet,Milwaukee Bucks,16,19476,15461593,565664176,2701069115,2701069116
