match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
Cleveland Cavaliers v Charlotte Hornets,2024-03-26,Head To Head,Cleveland Cavaliers,1.14,Charlotte Hornets,6,1.044,Bet365
Toronto Raptors v Brooklyn Nets,2024-03-26,Head To Head,Toronto Raptors,3.1,Brooklyn Nets,1.38,1.047,Bet365
Atlanta Hawks v Boston Celtics,2024-03-26,Head To Head,Atlanta Hawks,5,Boston Celtics,1.18,1.047,Bet365
New York Knicks v Detroit Pistons,2024-03-26,Head To Head,New York Knicks,1.058,Detroit Pistons,10.5,1.04,Bet365
San Antonio Spurs v Phoenix Suns,2024-03-26,Head To Head,San Antonio Spurs,6,Phoenix Suns,1.14,1.044,Bet365
Houston Rockets v Portland Trail Blazers,2024-03-26,Head To Head,Houston Rockets,1.11,Portland Trail Blazers,6.75,1.049,Bet365
Chicago Bulls v Washington Wizards,2024-03-26,Head To Head,Chicago Bulls,1.13,Washington Wizards,6.25,1.045,Bet365
Utah Jazz v Dallas Mavericks,2024-03-26,Head To Head,Utah Jazz,3.4,Dallas Mavericks,1.33,1.046,Bet365
Denver Nuggets v Memphis Grizzlies,2024-03-26,Head To Head,Denver Nuggets,1.071,Memphis Grizzlies,9.5,1.039,Bet365
Sacramento Kings v Philadelphia 76ers,2024-03-26,Head To Head,Sacramento Kings,1.28,Philadelphia 76ers,3.75,1.048,Bet365
Los Angeles Clippers v Indiana Pacers,2024-03-26,Head To Head,Los Angeles Clippers,1.44,Indiana Pacers,2.85,1.045,Bet365
