match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team,under_price,outcome_name_unders,outcome_id_unders,fixed_market_id_unders
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Immanuel Quickley,Toronto Raptors,19.5,2.38,BetRight,56389417,Immanuel Quickley 20+,4,304471621,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Immanuel Quickley,Toronto Raptors,24.5,5.25,BetRight,56389417,Immanuel Quickley 25+,5,304471620,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Sandro Mamukelashvili,Toronto Raptors,4.5,1.15,BetRight,56406668,Sandro Mamukelashvili 5+,1,304537264,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Sandro Mamukelashvili,Toronto Raptors,7.5,1.6,BetRight,56406668,Sandro Mamukelashvili 8+,2,304537265,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Sandro Mamukelashvili,Toronto Raptors,9.5,2.25,BetRight,56406668,Sandro Mamukelashvili 10+,3,304537266,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Sandro Mamukelashvili,Toronto Raptors,11.5,3.3,BetRight,56406668,Sandro Mamukelashvili 12+,4,304537267,Dallas Mavericks,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Bam Adebayo,Miami Heat,14.5,1.15,BetRight,56389513,Bam Adebayo 15+,2,304471971,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Bam Adebayo,Miami Heat,17.5,1.4,BetRight,56389513,Bam Adebayo 18+,3,304471969,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Bam Adebayo,Miami Heat,19.5,1.67,BetRight,56389513,Bam Adebayo 20+,4,304471972,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Bam Adebayo,Miami Heat,24.5,3.2,BetRight,56389513,Bam Adebayo 25+,5,304471970,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Bam Adebayo,Miami Heat,29.5,7.5,BetRight,56389513,Bam Adebayo 30+,6,304589789,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Tyler Herro,Miami Heat,17.5,1.17,BetRight,56389514,Tyler Herro 18+,1,304471977,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Tyler Herro,Miami Heat,19.5,1.3,BetRight,56389514,Tyler Herro 20+,2,304471974,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Tyler Herro,Miami Heat,24.5,2,BetRight,56389514,Tyler Herro 25+,3,304471976,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Tyler Herro,Miami Heat,29.5,3.9,BetRight,56389514,Tyler Herro 30+,4,304471975,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Tyler Herro,Miami Heat,34.5,9,BetRight,56389514,Tyler Herro 35+,5,304471973,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Pelle Larsson,Miami Heat,4.5,1.03,BetRight,56389515,Pelle Larsson 5+,1,304471981,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Pelle Larsson,Miami Heat,7.5,1.18,BetRight,56389515,Pelle Larsson 8+,2,304471978,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Pelle Larsson,Miami Heat,9.5,1.42,BetRight,56389515,Pelle Larsson 10+,3,304471980,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Pelle Larsson,Miami Heat,11.5,1.83,BetRight,56389515,Pelle Larsson 12+,4,304471979,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Pelle Larsson,Miami Heat,14.5,3,BetRight,56389515,Pelle Larsson 15+,5,304471982,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Davion Mitchell,Miami Heat,4.5,1.25,BetRight,56389516,Davion Mitchell 5+,1,304471984,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Davion Mitchell,Miami Heat,7.5,1.91,BetRight,56389516,Davion Mitchell 8+,2,304471985,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Davion Mitchell,Miami Heat,9.5,2.8,BetRight,56389516,Davion Mitchell 10+,3,304471983,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Cade Cunningham,Detroit Pistons,17.5,1.11,BetRight,56389518,Cade Cunningham 18+,1,304471994,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Cade Cunningham,Detroit Pistons,19.5,1.2,BetRight,56389518,Cade Cunningham 20+,2,304471992,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Cade Cunningham,Detroit Pistons,24.5,1.7,BetRight,56389518,Cade Cunningham 25+,3,304471995,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Cade Cunningham,Detroit Pistons,29.5,3,BetRight,56389518,Cade Cunningham 30+,4,304471991,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Cade Cunningham,Detroit Pistons,34.5,6.5,BetRight,56389518,Cade Cunningham 35+,5,304471993,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Jalen Duren,Detroit Pistons,11.5,1.15,BetRight,56389519,Jalen Duren 12+,1,304471996,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Jalen Duren,Detroit Pistons,14.5,1.38,BetRight,56389519,Jalen Duren 15+,2,304471998,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Jalen Duren,Detroit Pistons,17.5,1.88,BetRight,56389519,Jalen Duren 18+,3,304472000,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Jalen Duren,Detroit Pistons,19.5,2.4,BetRight,56389519,Jalen Duren 20+,4,304471997,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Jalen Duren,Detroit Pistons,24.5,5.75,BetRight,56389519,Jalen Duren 25+,5,304471999,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Tobias Harris,Detroit Pistons,7.5,1.1,BetRight,56389520,Tobias Harris 8+,1,304472003,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Tobias Harris,Detroit Pistons,9.5,1.22,BetRight,56389520,Tobias Harris 10+,2,304472001,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Tobias Harris,Detroit Pistons,11.5,1.46,BetRight,56389520,Tobias Harris 12+,3,304472004,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Tobias Harris,Detroit Pistons,14.5,2.15,BetRight,56389520,Tobias Harris 15+,4,304472002,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Tobias Harris,Detroit Pistons,17.5,3.6,BetRight,56389520,Tobias Harris 18+,5,304472005,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Duncan Robinson,Detroit Pistons,4.5,1.09,BetRight,56389521,Duncan Robinson 5+,1,304472007,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Duncan Robinson,Detroit Pistons,7.5,1.33,BetRight,56389521,Duncan Robinson 8+,2,304472010,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Duncan Robinson,Detroit Pistons,9.5,1.65,BetRight,56389521,Duncan Robinson 10+,3,304472008,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Duncan Robinson,Detroit Pistons,11.5,2.1,BetRight,56389521,Duncan Robinson 12+,4,304472006,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Duncan Robinson,Detroit Pistons,14.5,3.5,BetRight,56389521,Duncan Robinson 15+,5,304472009,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Jaime Jaquez Jr.,Miami Heat,9.5,1.11,BetRight,56405168,Jaime Jaquez Jr. 10+,1,304531547,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Jaime Jaquez Jr.,Miami Heat,11.5,1.26,BetRight,56405168,Jaime Jaquez Jr. 12+,2,304531545,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Jaime Jaquez Jr.,Miami Heat,14.5,1.7,BetRight,56405168,Jaime Jaquez Jr. 15+,3,304531548,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Jaime Jaquez Jr.,Miami Heat,17.5,2.63,BetRight,56405168,Jaime Jaquez Jr. 18+,4,304531546,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Jaime Jaquez Jr.,Miami Heat,19.5,3.8,BetRight,56405168,Jaime Jaquez Jr. 20+,5,304531544,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Kel'el Ware,Miami Heat,7.5,1.11,BetRight,56414735,Kel'El Ware 8+,1,304569533,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Kel'el Ware,Miami Heat,9.5,1.29,BetRight,56414735,Kel'El Ware 10+,2,304569532,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Kel'el Ware,Miami Heat,11.5,1.55,BetRight,56414735,Kel'El Ware 12+,3,304569534,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Kel'el Ware,Miami Heat,14.5,2.3,BetRight,56414735,Kel'El Ware 15+,4,304569531,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Kel'el Ware,Miami Heat,17.5,4,BetRight,56414735,Kel'El Ware 18+,5,304569535,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Ron Holland II,NA,4.5,1.17,BetRight,56420608,Ron Holland II 5+,1,304592331,NA,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Ron Holland II,NA,7.5,1.67,BetRight,56420608,Ron Holland II 8+,2,304592329,NA,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Ron Holland II,NA,9.5,2.4,BetRight,56420608,Ron Holland II 10+,3,304592332,NA,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Ron Holland II,NA,11.5,3.75,BetRight,56420608,Ron Holland II 12+,4,304592330,NA,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Daniss Jenkins,Detroit Pistons,4.5,1.14,BetRight,56420609,Daniss Jenkins 5+,1,304592334,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Daniss Jenkins,Detroit Pistons,7.5,1.53,BetRight,56420609,Daniss Jenkins 8+,2,304592336,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Daniss Jenkins,Detroit Pistons,9.5,2.05,BetRight,56420609,Daniss Jenkins 10+,3,304592335,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Daniss Jenkins,Detroit Pistons,11.5,3,BetRight,56420609,Daniss Jenkins 12+,4,304592333,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Myron Gardner,Miami Heat,4.5,1.38,BetRight,56422810,Myron Gardner 5+,1,304604536,Detroit Pistons,NA,NA,NA,NA
