match,home_team,away_team,market_name,player_name,outcome_name,player_team,line,over_price,agency,opposition_team,under_price
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Tyus Jones,Player three pointers - Tyus Jones 2+ (Match),Phoenix Suns,1.5,2,Betr,Sacramento Kings,NA
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Tyus Jones,Player three pointers - Tyus Jones 3+ (Match),Phoenix Suns,2.5,4.1,Betr,Sacramento Kings,NA
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Keon Ellis,Player three pointers - Keon Ellis 1+ (Match),Sacramento Kings,0.5,1.17,Betr,Phoenix Suns,NA
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Keon Ellis,Player three pointers - Keon Ellis 2+ (Match),Sacramento Kings,1.5,1.77,Betr,Phoenix Suns,NA
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Keon Ellis,Player three pointers - Keon Ellis 3+ (Match),Sacramento Kings,2.5,3.3,Betr,Phoenix Suns,NA
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Bradley Beal,NA,Phoenix Suns,0.5,1.14,Betr,Sacramento Kings,5.35
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Bradley Beal,NA,Phoenix Suns,1.5,1.65,Betr,Sacramento Kings,2.15
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Bradley Beal,NA,Phoenix Suns,2.5,2.9,Betr,Sacramento Kings,1.38
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Devin Booker,NA,Phoenix Suns,1.5,1.23,Betr,Sacramento Kings,3.8
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Devin Booker,NA,Phoenix Suns,2.5,1.69,Betr,Sacramento Kings,2.1
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Devin Booker,NA,Phoenix Suns,3.5,2.7,Betr,Sacramento Kings,1.43
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Tyus Jones,NA,Phoenix Suns,1.5,2,Betr,Sacramento Kings,1.74
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Tyus Jones,NA,Phoenix Suns,2.5,4.1,Betr,Sacramento Kings,1.22
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Keon Ellis,NA,Sacramento Kings,0.5,1.17,Betr,Phoenix Suns,4.8
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Keon Ellis,NA,Sacramento Kings,1.5,1.77,Betr,Phoenix Suns,2
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Keon Ellis,NA,Sacramento Kings,2.5,3.3,Betr,Phoenix Suns,1.31
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Keegan Murray,NA,Sacramento Kings,1.5,1.61,Betr,Phoenix Suns,2.25
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Keegan Murray,NA,Sacramento Kings,2.5,2.8,Betr,Phoenix Suns,1.42
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Royce O'Neale,NA,Phoenix Suns,0.5,1.11,Betr,Sacramento Kings,6
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Royce O'Neale,NA,Phoenix Suns,1.5,1.51,Betr,Sacramento Kings,2.45
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Royce O'Neale,NA,Phoenix Suns,2.5,2.5,Betr,Sacramento Kings,1.5
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Tyus Jones,NA,Phoenix Suns,0.5,1.23,Betr,Sacramento Kings,3.8
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Zach LaVine,NA,Sacramento Kings,2.5,1.83,Betr,Phoenix Suns,1.87
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Zach LaVine,NA,Sacramento Kings,3.5,3.1,Betr,Phoenix Suns,1.34
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Malik Monk,NA,Sacramento Kings,0.5,1.1,Betr,Phoenix Suns,6.5
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Malik Monk,NA,Sacramento Kings,1.5,1.45,Betr,Phoenix Suns,2.55
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Malik Monk,NA,Sacramento Kings,2.5,2.45,Betr,Phoenix Suns,1.51
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Keegan Murray,NA,Sacramento Kings,0.5,1.13,Betr,Phoenix Suns,5.5
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Kevin Durant,NA,Phoenix Suns,1.5,1.26,Betr,Sacramento Kings,3.6
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Kevin Durant,NA,Phoenix Suns,2.5,1.77,Betr,Sacramento Kings,2
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Kevin Durant,NA,Phoenix Suns,3.5,2.9,Betr,Sacramento Kings,1.37
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,DeMar DeRozan,NA,Sacramento Kings,0.5,1.33,Betr,Phoenix Suns,3.2
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,DeMar DeRozan,NA,Sacramento Kings,1.5,2.6,Betr,Phoenix Suns,1.45
Phoenix Suns v Sacramento Kings,Phoenix Suns,Sacramento Kings,Player Threes,Zach LaVine,NA,Sacramento Kings,1.5,1.28,Betr,Phoenix Suns,3.5
