Pos,Opponent,games,dvp,market_name
Combo,Milwaukee Bucks,16,-0.03973092285053692,Player Assists
Combo,Minnesota Timberwolves,23,-0.077823330897278,Player Assists
Combo,Detroit Pistons,13,-0.24197081046230273,Player Assists
Combo,New Orleans Pelicans,23,-0.24406371532588667,Player Assists
Combo,Houston Rockets,21,-0.3521077978587521,Player Assists
Combo,Orlando Magic,16,-0.39115901273642883,Player Assists
Combo,Washington Wizards,19,-0.5437120514623452,Player Assists
Combo,Golden State Warriors,15,-0.5583221866953307,Player Assists
Combo,Brooklyn Nets,18,-0.8087380263131698,Player Assists
Combo,Chicago Bulls,15,-0.9387841635061331,Player Assists
Combo,Oklahoma City Thunder,18,-1.1368614904298626,Player Assists
Combo,Utah Jazz,13,-1.420275526848719,Player Assists
Combo,Boston Celtics,15,-1.526605970957892,Player Assists
Forward,Charlotte Hornets,19,0.9471581386729766,Player Assists
Forward,Dallas Mavericks,17,0.7842319324225675,Player Assists
Forward,Memphis Grizzlies,24,0.7020005939091318,Player Assists
Forward,Toronto Raptors,24,0.6699006339456065,Player Assists
Forward,San Antonio Spurs,20,0.6465196468250083,Player Assists
Forward,Chicago Bulls,19,0.6235253052516283,Player Assists
Forward,Utah Jazz,15,0.5756597012499606,Player Assists
Forward,Sacramento Kings,19,0.4914208698356748,Player Assists
Forward,Philadelphia 76ers,19,0.4889649529039676,Player Assists
Forward,Atlanta Hawks,25,0.4589981782400152,Player Assists
Forward,Brooklyn Nets,21,0.2635698809995425,Player Assists
Forward,Detroit Pistons,24,0.2564672692052501,Player Assists
Forward,Cleveland Cavaliers,22,0.1559895147239303,Player Assists
Forward,Indiana Pacers,14,0.0664940126749381,Player Assists
Forward,Houston Rockets,17,-0.03668883670735745,Player Assists
Forward,Oklahoma City Thunder,22,-0.07541182343293196,Player Assists
Forward,Boston Celtics,22,-0.08091908091908095,Player Assists
Forward,New Orleans Pelicans,23,-0.08478397105472646,Player Assists
Forward,Portland Trail Blazers,19,-0.11681038314516856,Player Assists
Forward,Phoenix Suns,24,-0.15418758038782188,Player Assists
Forward,Denver Nuggets,21,-0.17370411217898218,Player Assists
Forward,Minnesota Timberwolves,27,-0.21767168342033183,Player Assists
Forward,Los Angeles Lakers,22,-0.2943735503175202,Player Assists
Forward,Washington Wizards,24,-0.30769211572833477,Player Assists
Forward,Orlando Magic,20,-0.31058393849056,Player Assists
Forward,Miami Heat,20,-0.36277271214701856,Player Assists
Forward,LA Clippers,24,-0.3964359022861732,Player Assists
Forward,Milwaukee Bucks,18,-0.4426527601945023,Player Assists
Forward,Golden State Warriors,17,-0.45514856660367475,Player Assists
Forward,New York Knicks,22,-0.46211180124223605,Player Assists
Point,Portland Trail Blazers,11,2.146335713752503,Player Assists
Point,New Orleans Pelicans,11,2.065923075174547,Player Assists
Point,Memphis Grizzlies,13,1.7679147504727286,Player Assists
Point,Phoenix Suns,9,1.6774517718168909,Player Assists
Point,Boston Celtics,12,1.2830527907749176,Player Assists
Point,Toronto Raptors,12,1.1554490516043194,Player Assists
Point,New York Knicks,11,0.9935956352394903,Player Assists
Point,Dallas Mavericks,13,0.7282567779686517,Player Assists
Point,Orlando Magic,8,0.18722939843887687,Player Assists
Point,Chicago Bulls,9,0.08514316380370612,Player Assists
Point,Milwaukee Bucks,9,0.04992781544259817,Player Assists
Point,Utah Jazz,12,-0.03648455859487676,Player Assists
Point,Detroit Pistons,12,-0.05963813110189786,Player Assists
Point,San Antonio Spurs,11,-0.1180248539066131,Player Assists
Point,Charlotte Hornets,11,-0.16130045094202394,Player Assists
Point,Atlanta Hawks,13,-0.2649892038227062,Player Assists
Point,Washington Wizards,9,-0.388585935779699,Player Assists
Point,Los Angeles Lakers,13,-0.49748245597967067,Player Assists
Point,Denver Nuggets,12,-0.5731728914463972,Player Assists
Point,Minnesota Timberwolves,9,-0.7635529001376762,Player Assists
Point,Philadelphia 76ers,12,-0.8298152706598314,Player Assists
Point,Sacramento Kings,9,-0.9725021904464803,Player Assists
Point,LA Clippers,11,-1.0156573688766537,Player Assists
Point,Brooklyn Nets,12,-1.0726431966746293,Player Assists
Point,Indiana Pacers,9,-1.122721508362817,Player Assists
Point,Golden State Warriors,12,-1.2077913646023104,Player Assists
Point,Houston Rockets,12,-1.2285723551186747,Player Assists
Point,Oklahoma City Thunder,10,-1.3009086691362297,Player Assists
Point,Cleveland Cavaliers,8,-1.5218602413336675,Player Assists
Point,Miami Heat,11,-1.672653443698267,Player Assists
Wing,New York Knicks,25,1.4483446433437952,Player Assists
Wing,Utah Jazz,27,0.9694907395823806,Player Assists
Wing,Washington Wizards,25,0.808537147467298,Player Assists
Wing,Oklahoma City Thunder,23,0.7442832044872525,Player Assists
Wing,Denver Nuggets,19,0.7167796393141315,Player Assists
Wing,Golden State Warriors,27,0.6301114454922034,Player Assists
Wing,Atlanta Hawks,21,0.5422297872811614,Player Assists
Wing,Chicago Bulls,21,0.5371875851912945,Player Assists
Wing,Sacramento Kings,18,0.5186263414792149,Player Assists
Wing,LA Clippers,26,0.3985416284812122,Player Assists
Wing,Portland Trail Blazers,24,0.31333366449781463,Player Assists
Wing,Charlotte Hornets,26,0.31297091399564725,Player Assists
Wing,Los Angeles Lakers,23,0.25607915354091637,Player Assists
Wing,Phoenix Suns,21,0.19205882883045255,Player Assists
Wing,Philadelphia 76ers,23,0.048587210567385686,Player Assists
Wing,Milwaukee Bucks,19,-0.055006401434880114,Player Assists
Wing,New Orleans Pelicans,23,-0.08463779871191868,Player Assists
Wing,Boston Celtics,22,-0.16762258240290118,Player Assists
Wing,San Antonio Spurs,20,-0.19642687140508497,Player Assists
Wing,Houston Rockets,26,-0.19919184240615362,Player Assists
Wing,Toronto Raptors,28,-0.2566999440703245,Player Assists
Wing,Dallas Mavericks,26,-0.3079253726125415,Player Assists
Wing,Miami Heat,23,-0.39762131080913754,Player Assists
Wing,Cleveland Cavaliers,21,-0.5801424462465155,Player Assists
Wing,Minnesota Timberwolves,19,-0.6159961014108615,Player Assists
Wing,Detroit Pistons,21,-0.6935727979013215,Player Assists
Wing,Orlando Magic,19,-0.7494099883266503,Player Assists
Wing,Indiana Pacers,18,-0.9631621684291678,Player Assists
Wing,Brooklyn Nets,29,-1.0794602698650675,Player Assists
Wing,Memphis Grizzlies,22,-1.1218679502240336,Player Assists
Big,Utah Jazz,28,5.611020433156739,Player Points
Big,Memphis Grizzlies,26,2.809677370053951,Player Points
Big,San Antonio Spurs,29,2.804844169429807,Player Points
Big,Atlanta Hawks,34,2.3066893672624396,Player Points
Big,Toronto Raptors,34,2.08431061806656,Player Points
Big,Boston Celtics,28,1.0264314411555269,Player Points
Big,Charlotte Hornets,32,0.9354604104712241,Player Points
Big,Washington Wizards,29,0.9318789443505171,Player Points
Big,Chicago Bulls,30,0.8817933917164167,Player Points
Big,Detroit Pistons,26,0.8432678499550859,Player Points
Big,Oklahoma City Thunder,28,0.7924197020872086,Player Points
Big,Houston Rockets,32,0.5472149406519167,Player Points
Big,Philadelphia 76ers,28,0.5052857128394734,Player Points
Big,Phoenix Suns,27,0.27091046160333576,Player Points
Big,Sacramento Kings,31,0.00744156791852113,Player Points
Big,Denver Nuggets,30,9.188295383886214e-4,Player Points
Big,Dallas Mavericks,28,-0.28144550002456903,Player Points
Big,Minnesota Timberwolves,32,-0.32754073016836216,Player Points
Big,Orlando Magic,28,-0.3872624284059869,Player Points
Big,Milwaukee Bucks,28,-0.4908236241088737,Player Points
Big,Portland Trail Blazers,29,-0.8286148356450678,Player Points
Big,Indiana Pacers,28,-1.0025850197627326,Player Points
Big,Brooklyn Nets,28,-1.0950558629939486,Player Points
Big,New Orleans Pelicans,27,-1.3881371408617191,Player Points
Big,Golden State Warriors,25,-1.4295879287612756,Player Points
Big,Los Angeles Lakers,32,-1.6440712676633176,Player Points
