Player,Team,Pos,MIN,Usage Rank,Usage
Jaden Hardy,DAL,Combo,516,61,21.40%
Gary Harris,ORL,Wing,611,14,12.20%
Joe Harris,DET,Forward,151,7,10.60%
Tobias Harris,PHI,Forward,1392,75,19.90%
Josh Hart,NYK,Wing,1188,18,12.40%
Isaiah Hartenstein,NYK,Big,1092,10,10.60%
Sam Hauser,BOS,Forward,876,12,11.30%
Jordan Hawkins,NOP,Wing,758,64,17.30%
Jaxson Hayes,LAL,Big,280,6,10.00%
Killian Hayes,DET,Combo,907,45,18.50%
Gordon Hayward,CHA,Wing,797,80,21.40%
Scoot Henderson,POR,Point,917,63,27.90%
Taylor Hendricks,UTA,Big,152,52,15.80%
Tyler Herro,MIA,Combo,811,90,28.20%
Buddy Hield,IND,Wing,1139,72,18.20%
Haywood Highsmith,MIA,Forward,607,19,12.20%
Aaron Holiday,HOU,Combo,625,23,15.60%
Jrue Holiday,BOS,Combo,1343,48,18.60%
Justin Holiday,DEN,Combo,288,0,9.30%
Richaun Holmes,DAL,Big,114,34,13.60%
Chet Holmgren,OKC,Big,1296,82,20.10%
Al Horford,BOS,Big,974,15,11.50%
Talen Horton-Tucker,UTA,Combo,642,87,26.10%
Danuel House,PHI,Wing,307,2,9.50%
Caleb Houstan,ORL,Wing,499,8,11.10%
Kevin Huerter,SAC,Wing,940,56,16.80%
DeAndre Hunter,ATL,Forward,720,60,17.20%
Nah'Shon Hyland,LAC,Combo,177,62,21.80%
Joe Ingles,ORL,Wing,544,42,14.90%
Brandon Ingram,NOP,Wing,1316,97,28.60%
Kyrie Irving,DAL,Combo,897,94,29.90%
Jonathan Isaac,ORL,Forward,347,55,16.70%
Jaden Ivey,DET,Combo,1010,77,24.50%
Isaiah Jackson,IND,Big,420,50,15.50%
Jaren Jackson,MEM,Big,1293,93,26.80%
Reggie Jackson,DEN,Combo,1019,72,23.60%
GG Jackson II,MEM,Forward,118,63,17.30%
Andre Jackson Jr.,MIL,Wing,404,5,10.00%
Trayce Jackson-Davis,GSW,Big,407,46,15.00%
LeBron James,LAL,Forward,1370,99,31.20%
Jaime Jaquez Jr.,MIA,Wing,1177,76,19.10%
Isaiah Joe,OKC,Wing,822,43,14.90%
Cameron Johnson,BKN,Forward,995,72,18.60%
Jalen Johnson,ATL,Forward,937,57,17.10%
Keldon Johnson,SAS,Forward,1266,80,22.40%
Nikola Jokic,DEN,Big,1480,99,31.50%
Herbert Jones,NOP,Forward,1169,47,15.10%
Tre Jones,SAS,Point,968,29,19.10%
Tyus Jones,WAS,Point,1186,32,19.30%
Derrick Jones Jr.,DAL,Forward,1063,31,13.90%
DeAndre Jordan,DEN,Big,256,55,16.00%
Cory Joseph,GSW,Combo,199,14,13.90%
Nikola Jovic,MIA,Big,291,63,16.80%
Luke Kennard,MEM,Combo,486,29,16.20%
Walker Kessler,UTA,Big,868,16,11.60%
Corey Kispert,WAS,Forward,870,68,18.00%
Maxi Kleber,DAL,Big,167,26,12.70%
Kevin Knox,DET,Forward,437,36,14.00%
John Konchar,MEM,Wing,537,6,10.20%
Furkan Korkmaz,PHI,Wing,125,9,11.20%
Luke Kornet,BOS,Big,416,8,10.30%
Jonathan Kuminga,GSW,Forward,887,81,22.50%
Kyle Kuzma,WAS,Big,1310,98,30.20%
Jake LaRavia,MEM,Forward,104,49,16.00%
Zach LaVine,CHI,Wing,871,90,24.80%
Jock Landale,HOU,Big,150,25,12.40%
A.J. Lawson,DAL,Wing,138,63,17.20%
Caris LeVert,CLE,Wing,877,92,25.70%
Alex Len,SAC,Big,123,37,14.00%
Kawhi Leonard,LAC,Big,1315,92,25.30%
Kira Lewis Jr.,NOP,Point,102,16,17.80%
Damian Lillard,MIL,Point,1410,74,29.90%
Nassir Little,PHX,Forward,349,17,12.00%
Dereck Lively II,DAL,Big,806,9,10.50%
Isaiah Livers,DET,Forward,435,13,11.60%
Kevon Looney,GSW,Big,818,13,11.40%
Brook Lopez,MIL,Big,1343,36,14.00%
Kevin Love,MIA,Big,618,86,21.00%
Kyle Lowry,MIA,Point,1034,3,14.80%
Trey Lyles,SAC,Big,559,23,12.30%
Theo Maledon,CHA,Combo,190,42,17.90%
Sandro Mamukelashvili,SAS,Big,119,74,19.00%
Terance Mann,LAC,Wing,853,25,12.80%
Lauri Markkanen,UTA,Forward,1135,79,21.80%
Naji Marshall,NOP,Wing,582,60,16.90%
Caleb Martin,MIA,Forward,685,67,17.90%
Cody Martin,CHA,Wing,284,49,16.10%
Kenyon Martin Jr.,PHI,Wing,102,11,12.10%
Garrison Mathews,ATL,Wing,342,0,9.10%
Bennedict Mathurin,IND,Wing,1101,82,22.00%
Wesley Matthews,ATL,Forward,213,9,10.90%
Tyrese Maxey,PHI,Point,1538,66,28.10%
Skylar Mays,POR,Combo,331,65,22.00%
Miles McBride,NYK,Point,248,24,18.80%
CJ McCollum,NOP,Point,957,50,24.20%
TJ McConnell,IND,Point,549,68,28.50%
Jaden McDaniels,MIN,Wing,938,41,14.80%
Jalen McDaniels,TOR,Wing,200,50,16.40%
Doug McDermott,SAS,Forward,573,27,13.50%
JaVale McGee,SAC,Big,245,68,18.00%
Bryce McGowens,CHA,Wing,531,20,12.50%
Jordan McLaughlin,MIN,Combo,158,35,17.20%
De'Anthony Melton,PHI,Wing,954,69,18.10%
Nathan Mensah,CHA,Big,202,1,8.20%
Sam Merrill,CLE,Wing,359,75,18.60%
Chimezie Metu,PHX,Big,386,50,15.50%
Vasilije Micic,OKC,Combo,235,36,17.50%
Khris Middleton,MIL,Wing,950,93,25.80%
Brandon Miller,CHA,Wing,1061,77,20.40%
Patty Mills,ATL,Combo,122,1,10.40%
Shake Milton,MIN,Combo,393,46,18.50%
Davion Mitchell,SAC,Point,352,11,16.60%
Donovan Mitchell,CLE,Combo,1132,100,33.20%
Evan Mobley,CLE,Big,703,70,18.50%
Malik Monk,SAC,Combo,1053,83,25.80%
Moses Moody,GSW,Wing,591,53,16.60%
Ja Morant,MEM,Point,317,89,33.60%
Marcus Morris,PHI,Forward,523,29,13.80%
Markieff Morris,DAL,Big,124,54,16.00%
Trey Murphy III,NOP,Wing,486,65,17.50%
Dejounte Murray,ATL,Combo,1496,81,25.40%
Jamal Murray,DEN,Point,968,76,30.10%
