gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022100493,1610612748,Miami,Heat,MIA,heat,240:00,102.3,103.3,91.7,91.2,10.6,12.1,0.778,2.0,20.2,0.368,0.744,0.53,15.398,15.6,0.461,0.48,1.0,0.197,90.7,90.5,75.42,90.0,0.552
0022100493,1610612753,Orlando,Magic,ORL,magic,240:00,91.7,91.2,102.3,103.3,-10.6,-12.1,0.548,0.89,14.7,0.256,0.632,0.47,20.999,20.9,0.5,0.522,1.0,0.199,90.7,90.5,75.42,91.0,0.448
0022100241,1610612764,Washington,Wizards,WAS,wizards,240:00,108.3,113.2,106.6,107.5,1.7,5.7,0.611,1.1,17.4,0.3,0.659,0.488,21.026,22.0,0.561,0.612,1.0,0.196,94.46,92.0,76.67,91.0,0.522
0022100241,1610612748,Miami,Heat,MIA,heat,240:00,106.6,107.5,108.3,113.2,-1.7,-5.7,0.553,1.5,16.8,0.341,0.7,0.512,14.925,15.1,0.512,0.557,1.0,0.197,94.46,92.0,76.67,93.0,0.478
0022100168,1610612756,Phoenix,Suns,PHX,suns,240:00,117.5,121.4,109.0,110.1,8.5,11.3,0.551,2.45,19.7,0.283,0.653,0.474,10.861,11.2,0.58,0.599,1.0,0.196,100.66,98.5,82.08,98.0,0.548
0022100168,1610612757,Portland,Trail Blazers,POR,blazers,240:00,109.0,110.1,117.5,121.4,-8.5,-11.3,0.545,1.5,17.4,0.347,0.717,0.526,15.994,16.2,0.522,0.556,1.0,0.195,100.66,98.5,82.08,99.0,0.452
0022100972,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,114.7,118.1,107.8,112.0,6.9,6.1,0.487,2.11,15.2,0.3,0.725,0.515,9.298,9.6,0.54,0.573,1.0,0.198,96.18,93.0,77.5,94.0,0.53
0022100972,1610612762,Utah,Jazz,UTA,jazz,240:00,107.8,112.0,114.7,118.1,-6.9,-6.1,0.611,1.57,17.0,0.275,0.7,0.485,14.65,15.2,0.506,0.55,1.0,0.195,96.18,93.0,77.5,92.0,0.47
0022100811,1610612764,Washington,Wizards,WAS,wizards,240:00,99.9,101.0,121.9,121.0,-22.0,-20.0,0.694,1.47,18.9,0.205,0.818,0.468,16.98,17.2,0.494,0.555,1.0,0.198,99.68,99.5,82.92,99.0,0.421
0022100811,1610612748,Miami,Heat,MIA,heat,240:00,121.9,121.0,99.9,101.0,22.0,20.0,0.674,1.53,21.8,0.182,0.795,0.532,19.146,19.0,0.684,0.71,1.0,0.196,99.68,99.5,82.92,100.0,0.579
0022100620,1610612764,Washington,Wizards,WAS,wizards,240:00,117.6,119.1,109.2,112.8,8.4,6.4,0.605,2.6,20.4,0.19,0.621,0.44,10.5,10.6,0.585,0.614,1.0,0.198,96.14,94.0,78.33,94.0,0.539
0022100620,1610612753,Orlando,Magic,ORL,magic,240:00,109.2,112.8,117.6,119.1,-8.4,-6.4,0.756,3.44,21.2,0.379,0.81,0.56,9.275,9.6,0.47,0.5,1.0,0.198,96.14,94.0,78.33,94.0,0.461
0022101168,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,109.0,115.7,128.0,126.5,-19.0,-10.8,0.633,2.38,21.3,0.267,0.85,0.541,12.01,12.7,0.565,0.583,1.0,0.194,104.5,102.0,85.0,102.0,0.43
0022101168,1610612743,Denver,Nuggets,DEN,nuggets,240:00,128.0,126.5,109.0,115.7,19.0,10.8,0.702,2.75,23.6,0.15,0.733,0.459,11.909,11.8,0.646,0.681,1.0,0.199,104.5,102.0,85.0,102.0,0.57
0022100723,1610612754,Indiana,Pacers,IND,pacers,240:00,114.6,117.8,140.4,147.7,-25.8,-29.9,0.75,1.65,20.6,0.423,0.667,0.532,18.188,18.7,0.533,0.589,1.0,0.2,111.24,107.0,89.17,107.0,0.392
0022100723,1610612766,Charlotte,Hornets,CHA,hornets,240:00,140.4,147.7,114.6,117.8,25.8,29.9,0.685,2.85,23.5,0.333,0.577,0.468,11.554,12.1,0.71,0.735,1.0,0.197,111.24,107.0,89.17,107.0,0.608
