timestamp,match,start_time,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,opposition_team,group_by_header,outcome_name,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders,date,implied_prob_over,implied_prob_under,games_played_2022_2023,empirical_prob_over_2022_23,games_played_2023_2024,empirical_prob_over_2023_24,empirical_prob_last_10,empirical_prob_under_2022_23,empirical_prob_under_2023_24,diff_over_2022_23,diff_under_2022_23,diff_over_2023_24,diff_under_2023_24,diff_over_last_10,diff_under_last_10,agency,variation
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Dillon Brooks,Houston Rockets,1.5,1.28,NA,Indiana Pacers,NA,NA,NA,NA,NA,NA,NA,0.78,NA,73,0.67,40,0.42,0.3,0.33,0.58,-0.11,NA,-0.36,NA,-0.48,NA,Neds,0.25
2024-02-06T12:49:43Z,Utah Jazz v Oklahoma City Thunder,2024-02-07T02:00:00Z,Utah Jazz,Oklahoma City Thunder,Player Assists,Simone Fontecchio,Utah Jazz,3.5,7.5,NA,Oklahoma City Thunder,NA,NA,NA,NA,NA,NA,NA,0.13,NA,52,0.02,48,0.1,0,0.98,0.9,-0.11,NA,-0.03,NA,-0.13,NA,TAB,0.22999999999999998
2024-02-06T12:49:43Z,Utah Jazz v Oklahoma City Thunder,2024-02-07T02:00:00Z,Utah Jazz,Oklahoma City Thunder,Player Assists,Simone Fontecchio,Utah Jazz,3.5,7,NA,Oklahoma City Thunder,Player Assists - Simone Fontecchio (UTA),Simone Fontecchio 4+,NA,NA,NA,NA,NA,0.14,NA,52,0.02,48,0.1,0,0.98,0.9,-0.12,NA,-0.04,NA,-0.14,NA,BetRight,0.22999999999999998
2024-02-06T12:49:43Z,Utah Jazz v Oklahoma City Thunder,2024-02-07T02:00:00Z,Utah Jazz,Oklahoma City Thunder,Player assists,Simone Fontecchio,Utah Jazz,3.5,5.5,NA,Oklahoma City Thunder,NA,NA,NA,NA,NA,NA,NA,0.18,NA,52,0.02,48,0.1,0,0.98,0.9,-0.16,NA,-0.08,NA,-0.18,NA,BlueBet,0.22999999999999998
2024-02-06T12:49:43Z,Utah Jazz v Oklahoma City Thunder,2024-02-07T02:00:00Z,Utah Jazz,Oklahoma City Thunder,Player Assists,Simone Fontecchio,Utah Jazz,3.5,2.8,NA,Oklahoma City Thunder,NA,NA,NA,NA,NA,NA,NA,0.36,NA,52,0.02,48,0.1,0,0.98,0.9,-0.34,NA,-0.25,NA,-0.36,NA,Neds,0.22999999999999998
2024-02-06T12:49:43Z,Utah Jazz v Oklahoma City Thunder,2024-02-07T02:00:00Z,Utah Jazz,Oklahoma City Thunder,Player Assists,John Collins,Utah Jazz,1.5,2.25,NA,Oklahoma City Thunder,NA,NA,NA,NA,NA,NA,NA,0.44,NA,71,0.38,46,0.33,0.5,0.62,0.67,-0.06,NA,-0.12,NA,0.06,NA,TAB,0.22000000000000003
2024-02-06T12:49:43Z,Utah Jazz v Oklahoma City Thunder,2024-02-07T02:00:00Z,Utah Jazz,Oklahoma City Thunder,Player Assists,John Collins,Utah Jazz,1.5,1.52,NA,Oklahoma City Thunder,NA,NA,NA,NA,NA,NA,NA,0.66,NA,71,0.38,46,0.33,0.5,0.62,0.67,-0.28,NA,-0.33,NA,-0.16,NA,Neds,0.22000000000000003
2024-02-06T12:49:43Z,New York Knicks v Memphis Grizzlies,2024-02-07T00:30:00Z,New York Knicks,Memphis Grizzlies,Player Assists,Precious Achiuwa,New York Knicks,3.5,8.5,NA,Memphis Grizzlies,NA,NA,NA,NA,NA,NA,NA,0.12,NA,55,0.04,43,0.12,0,0.96,0.88,-0.08,NA,-0,NA,-0.12,NA,TAB,0.21000000000000002
2024-02-06T12:49:43Z,New York Knicks v Memphis Grizzlies,2024-02-07T00:30:00Z,New York Knicks,Memphis Grizzlies,Player Assists,Precious Achiuwa,New York Knicks,3.5,3,NA,Memphis Grizzlies,NA,NA,NA,NA,NA,NA,NA,0.33,NA,55,0.04,43,0.12,0,0.96,0.88,-0.3,NA,-0.22,NA,-0.33,NA,Neds,0.21000000000000002
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Dillon Brooks,Houston Rockets,3.5,7,NA,Indiana Pacers,NA,NA,NA,NA,NA,NA,NA,0.14,NA,73,0.32,40,0.07,0.1,0.68,0.92,0.17,NA,-0.07,NA,-0.04,NA,TAB,0.2
