timestamp,match,start_time,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,opposition_team,date,implied_prob_over,implied_prob_under,games_played_2022_2023,empirical_prob_over_2022_23,games_played_2023_2024,empirical_prob_over_2023_24,empirical_prob_last_10,empirical_prob_under_2022_23,empirical_prob_under_2023_24,diff_over_2022_23,diff_under_2022_23,diff_over_2023_24,diff_under_2023_24,diff_over_last_10,diff_under_last_10,agency,variation
2024-01-18T13:38:26Z,Sacramento Kings v Indiana Pacers,2024-01-19T03:00:00Z,Sacramento Kings,Indiana Pacers,Player Assists,Harrison Barnes,Sacramento Kings,1.5,2.6,NA,Indiana Pacers,NA,0.38,NA,82,0.48,40,0.32,0.2,0.52,0.68,0.09,NA,-0.06,NA,-0.18,NA,TAB,0.37
2024-01-18T13:38:26Z,Sacramento Kings v Indiana Pacers,2024-01-19T03:00:00Z,Sacramento Kings,Indiana Pacers,Player Assists,Harrison Barnes,Sacramento Kings,1.5,1.33,NA,Indiana Pacers,NA,0.75,NA,82,0.48,40,0.32,0.2,0.52,0.68,-0.28,NA,-0.43,NA,-0.55,NA,Neds,0.37
2024-01-18T13:38:26Z,Utah Jazz v Oklahoma City Thunder,2024-01-19T02:00:00Z,Utah Jazz,Oklahoma City Thunder,Player Assists,John Collins,Utah Jazz,1.5,3.2,NA,Oklahoma City Thunder,NA,0.31,NA,71,0.38,37,0.27,0.4,0.62,0.73,0.07,NA,-0.04,NA,0.09,NA,TAB,0.35000000000000003
2024-01-18T13:38:26Z,Utah Jazz v Oklahoma City Thunder,2024-01-19T02:00:00Z,Utah Jazz,Oklahoma City Thunder,Player Assists,John Collins,Utah Jazz,1.5,1.52,NA,Oklahoma City Thunder,NA,0.66,NA,71,0.38,37,0.27,0.4,0.62,0.73,-0.28,NA,-0.39,NA,-0.26,NA,Neds,0.35000000000000003
2024-01-18T13:38:26Z,Minnesota Timberwolves v Memphis Grizzlies,2024-01-19T03:00:00Z,Minnesota Timberwolves,Memphis Grizzlies,Player Assists,Rudy Gobert,Minnesota Timberwolves,1.5,2.7,NA,Memphis Grizzlies,NA,0.37,NA,70,0.34,39,0.26,0.2,0.66,0.74,-0.03,NA,-0.11,NA,-0.17,NA,TAB,0.32999999999999996
2024-01-18T13:38:26Z,Minnesota Timberwolves v Memphis Grizzlies,2024-01-19T03:00:00Z,Minnesota Timberwolves,Memphis Grizzlies,Player Assists,Rudy Gobert,Minnesota Timberwolves,1.5,1.42,NA,Memphis Grizzlies,NA,0.7,NA,70,0.34,39,0.26,0.2,0.66,0.74,-0.36,NA,-0.45,NA,-0.5,NA,Neds,0.32999999999999996
2024-01-18T13:38:26Z,Sacramento Kings v Indiana Pacers,2024-01-19T03:00:00Z,Sacramento Kings,Indiana Pacers,Player Assists,Keegan Murray,Sacramento Kings,1.5,1.9,NA,Indiana Pacers,NA,0.53,NA,80,0.35,36,0.44,0.5,0.65,0.56,-0.18,NA,-0.08,NA,-0.03,NA,TAB,0.30999999999999994
2024-01-18T13:38:26Z,Sacramento Kings v Indiana Pacers,2024-01-19T03:00:00Z,Sacramento Kings,Indiana Pacers,Player Assists,Keegan Murray,Sacramento Kings,1.5,1.19,NA,Indiana Pacers,NA,0.84,NA,80,0.35,36,0.44,0.5,0.65,0.56,-0.49,NA,-0.4,NA,-0.34,NA,Neds,0.30999999999999994
2024-01-18T13:38:26Z,Sacramento Kings v Indiana Pacers,2024-01-19T03:00:00Z,Sacramento Kings,Indiana Pacers,Player Assists,Keegan Murray,Sacramento Kings,3.5,8,NA,Indiana Pacers,NA,0.12,NA,80,0.04,36,0.08,0,0.96,0.92,-0.09,NA,-0.04,NA,-0.12,NA,TAB,0.3
2024-01-18T13:38:26Z,Sacramento Kings v Indiana Pacers,2024-01-19T03:00:00Z,Sacramento Kings,Indiana Pacers,Player Assists,Keegan Murray,Sacramento Kings,3.5,2.4,NA,Indiana Pacers,NA,0.42,NA,80,0.04,36,0.08,0,0.96,0.92,-0.38,NA,-0.33,NA,-0.42,NA,Neds,0.3
