timestamp,match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency,player_name,player_team,line,over_price,opposition_team,under_price,total_points_line
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Mitchell Robinson,New York Knicks,4.5,26,Boston Celtics,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Jaylen Brown,Boston Celtics,1.5,1.08,New York Knicks,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Jaylen Brown,Boston Celtics,4.5,2.7,New York Knicks,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Jaylen Brown,Boston Celtics,7.5,13,New York Knicks,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Jaylen Brown,Boston Celtics,9.5,23,New York Knicks,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Josh Hart,New York Knicks,1.5,1.45,Boston Celtics,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Josh Hart,New York Knicks,4.5,8.5,Boston Celtics,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Josh Hart,New York Knicks,7.5,26,Boston Celtics,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Immanuel Quickley,New York Knicks,1.5,1.57,Boston Celtics,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Immanuel Quickley,New York Knicks,4.5,9,Boston Celtics,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Immanuel Quickley,New York Knicks,7.5,26,Boston Celtics,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Jrue Holiday,Boston Celtics,1.5,1.01,New York Knicks,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Jrue Holiday,Boston Celtics,4.5,1.09,New York Knicks,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Jrue Holiday,Boston Celtics,7.5,1.8,New York Knicks,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Jrue Holiday,Boston Celtics,9.5,3.2,New York Knicks,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Jrue Holiday,Boston Celtics,11.5,6.5,New York Knicks,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Kristaps Porzingis,Boston Celtics,1.5,1.22,New York Knicks,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Kristaps Porzingis,Boston Celtics,4.5,4.8,New York Knicks,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Kristaps Porzingis,Boston Celtics,7.5,23,New York Knicks,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Jayson Tatum,Boston Celtics,1.5,1.01,New York Knicks,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Jayson Tatum,Boston Celtics,4.5,1.6,New York Knicks,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Jayson Tatum,Boston Celtics,7.5,4.8,New York Knicks,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Jayson Tatum,Boston Celtics,9.5,13,New York Knicks,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Derrick White,Boston Celtics,1.5,1.22,New York Knicks,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Derrick White,Boston Celtics,4.5,4.8,New York Knicks,NA,NA
2023-10-25T23:53:36Z,New York Knicks v Boston Celtics,NA,Player assists,New York Knicks,NA,Boston Celtics,NA,NA,BlueBet,Derrick White,Boston Celtics,7.5,23,New York Knicks,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Bruce Brown,Indiana Pacers,1.5,1.17,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Bruce Brown,Indiana Pacers,4.5,3.9,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Bruce Brown,Indiana Pacers,7.5,20,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Tyrese Haliburton,Indiana Pacers,4.5,1.01,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Tyrese Haliburton,Indiana Pacers,7.5,1.19,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Tyrese Haliburton,Indiana Pacers,9.5,1.62,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Tyrese Haliburton,Indiana Pacers,11.5,2.75,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Tyrese Haliburton,Indiana Pacers,14.5,7,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Bennedict Mathurin,Indiana Pacers,1.5,1.95,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Bennedict Mathurin,Indiana Pacers,4.5,18,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Bennedict Mathurin,Indiana Pacers,7.5,26,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Obi Toppin,Indiana Pacers,1.5,1.85,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Obi Toppin,Indiana Pacers,4.5,18,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Obi Toppin,Indiana Pacers,7.5,26,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Myles Turner,Indiana Pacers,1.5,2.25,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Myles Turner,Indiana Pacers,4.5,20,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Daniel Gafford,Washington Wizards,1.5,2.15,Indiana Pacers,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Daniel Gafford,Washington Wizards,4.5,20,Indiana Pacers,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Buddy Hield,Indiana Pacers,1.5,1.37,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Buddy Hield,Indiana Pacers,4.5,7.5,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Buddy Hield,Indiana Pacers,7.5,26,Washington Wizards,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Tyus Jones,Washington Wizards,1.5,1.01,Indiana Pacers,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Tyus Jones,Washington Wizards,4.5,1.06,Indiana Pacers,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Tyus Jones,Washington Wizards,7.5,1.6,Indiana Pacers,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Tyus Jones,Washington Wizards,9.5,2.7,Indiana Pacers,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Tyus Jones,Washington Wizards,11.5,4.8,Indiana Pacers,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Jordan Poole,Washington Wizards,1.5,1.01,Indiana Pacers,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Jordan Poole,Washington Wizards,4.5,1.52,Indiana Pacers,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Jordan Poole,Washington Wizards,7.5,4.6,Indiana Pacers,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Jordan Poole,Washington Wizards,9.5,12,Indiana Pacers,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Kyle Kuzma,Washington Wizards,1.5,1.19,Indiana Pacers,NA,NA
2023-10-25T23:53:36Z,Indiana Pacers v Washington Wizards,NA,Player assists,Indiana Pacers,NA,Washington Wizards,NA,NA,BlueBet,Kyle Kuzma,Washington Wizards,4.5,4.6,Indiana Pacers,NA,NA
