timestamp,match,start_time,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,opposition_team,date,implied_prob_over,implied_prob_under,games_played_2022_2023,empirical_prob_over_2022_23,games_played_2023_2024,empirical_prob_over_2023_24,empirical_prob_last_10,empirical_prob_under_2022_23,empirical_prob_under_2023_24,diff_over_2022_23,diff_under_2022_23,diff_over_2023_24,diff_under_2023_24,diff_over_last_10,diff_under_last_10,agency,variation
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Jalen Brunson,New York Knicks,9.5,2.45,NA,Portland Trail Blazers,NA,0.41,NA,68,0.09,36,0.06,0.2,0.91,0.94,-0.32,NA,-0.35,NA,-0.21,NA,Neds,0.13999999999999996
2024-01-09T23:02:14Z,Detroit Pistons v Sacramento Kings,2024-01-10T00:00:00Z,Detroit Pistons,Sacramento Kings,Player Assists,Domantas Sabonis,Sacramento Kings,11.5,9,NA,Detroit Pistons,NA,0.11,NA,78,0.06,35,0.14,0.3,0.94,0.86,-0.05,NA,0.03,NA,0.19,NA,Sportsbet,0.13
2024-01-09T23:02:14Z,Detroit Pistons v Sacramento Kings,2024-01-10T00:00:00Z,Detroit Pistons,Sacramento Kings,Player Assists,Domantas Sabonis,Sacramento Kings,11.5,7,NA,Detroit Pistons,NA,0.14,NA,78,0.06,35,0.14,0.3,0.94,0.86,-0.08,NA,0,NA,0.16,NA,BetRight,0.13
2024-01-09T23:02:14Z,Detroit Pistons v Sacramento Kings,2024-01-10T00:00:00Z,Detroit Pistons,Sacramento Kings,Player Assists,Domantas Sabonis,Sacramento Kings,11.5,6.5,NA,Detroit Pistons,NA,0.15,NA,78,0.06,35,0.14,0.3,0.94,0.86,-0.09,NA,-0.01,NA,0.15,NA,Pointsbet,0.13
2024-01-09T23:02:14Z,Detroit Pistons v Sacramento Kings,2024-01-10T00:00:00Z,Detroit Pistons,Sacramento Kings,Player Assists,Domantas Sabonis,Sacramento Kings,11.5,6.25,NA,Detroit Pistons,NA,0.16,NA,78,0.06,35,0.14,0.3,0.94,0.86,-0.1,NA,-0.02,NA,0.14,NA,TopSport,0.13
2024-01-09T23:02:14Z,Detroit Pistons v Sacramento Kings,2024-01-10T00:00:00Z,Detroit Pistons,Sacramento Kings,Player assists,Domantas Sabonis,Sacramento Kings,11.5,5.5,NA,Detroit Pistons,NA,0.18,NA,78,0.06,35,0.14,0.3,0.94,0.86,-0.12,NA,-0.04,NA,0.12,NA,BlueBet,0.13
2024-01-09T23:02:14Z,Detroit Pistons v Sacramento Kings,2024-01-10T00:00:00Z,Detroit Pistons,Sacramento Kings,Player Assists,Domantas Sabonis,Sacramento Kings,11.5,5.5,NA,Detroit Pistons,NA,0.18,NA,78,0.06,35,0.14,0.3,0.94,0.86,-0.12,NA,-0.04,NA,0.12,NA,TAB,0.13
2024-01-09T23:02:14Z,Detroit Pistons v Sacramento Kings,2024-01-10T00:00:00Z,Detroit Pistons,Sacramento Kings,Player Assists,Domantas Sabonis,Sacramento Kings,11.5,4.25,NA,Detroit Pistons,NA,0.24,NA,78,0.06,35,0.14,0.3,0.94,0.86,-0.17,NA,-0.09,NA,0.06,NA,Neds,0.13
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Jalen Brunson,New York Knicks,11.5,9.5,NA,Portland Trail Blazers,NA,0.11,NA,68,0.03,36,0.06,0.2,0.97,0.94,-0.08,NA,-0.05,NA,0.09,NA,Sportsbet,0.12000000000000001
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Jalen Brunson,New York Knicks,11.5,8,NA,Portland Trail Blazers,NA,0.12,NA,68,0.03,36,0.06,0.2,0.97,0.94,-0.1,NA,-0.07,NA,0.08,NA,BetRight,0.12000000000000001
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Jalen Brunson,New York Knicks,11.5,8,NA,Portland Trail Blazers,NA,0.12,NA,68,0.03,36,0.06,0.2,0.97,0.94,-0.1,NA,-0.07,NA,0.08,NA,Pointsbet,0.12000000000000001
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Jalen Brunson,New York Knicks,11.5,7,NA,Portland Trail Blazers,NA,0.14,NA,68,0.03,36,0.06,0.2,0.97,0.94,-0.11,NA,-0.09,NA,0.06,NA,TAB,0.12000000000000001
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Jalen Brunson,New York Knicks,11.5,7,NA,Portland Trail Blazers,NA,0.14,NA,68,0.03,36,0.06,0.2,0.97,0.94,-0.11,NA,-0.09,NA,0.06,NA,TopSport,0.12000000000000001
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player assists,Jalen Brunson,New York Knicks,11.5,6.5,NA,Portland Trail Blazers,NA,0.15,NA,68,0.03,36,0.06,0.2,0.97,0.94,-0.12,NA,-0.1,NA,0.05,NA,BlueBet,0.12000000000000001
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Jalen Brunson,New York Knicks,11.5,4.4,NA,Portland Trail Blazers,NA,0.23,NA,68,0.03,36,0.06,0.2,0.97,0.94,-0.2,NA,-0.17,NA,-0.03,NA,Neds,0.12000000000000001
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Anfernee Simons,Portland Trail Blazers,5.5,3,NA,New York Knicks,NA,0.33,NA,62,0.29,14,0.5,0.5,0.71,0.5,-0.04,NA,0.17,NA,0.17,NA,TopSport,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Anfernee Simons,Portland Trail Blazers,5.5,2.9,NA,New York Knicks,NA,0.34,NA,62,0.29,14,0.5,0.5,0.71,0.5,-0.05,NA,0.16,NA,0.16,NA,TAB,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Anfernee Simons,Portland Trail Blazers,5.5,2.8,NA,New York Knicks,NA,0.36,NA,62,0.29,14,0.5,0.5,0.71,0.5,-0.07,NA,0.14,NA,0.14,NA,Sportsbet,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Anfernee Simons,Portland Trail Blazers,5.5,2.75,1.38,New York Knicks,NA,0.36,0.72,62,0.29,14,0.5,0.5,0.71,0.5,-0.07,-0.01,0.14,-0.22,0.14,-0.22,BetRight,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Anfernee Simons,Portland Trail Blazers,5.5,2.7,NA,New York Knicks,NA,0.37,NA,62,0.29,14,0.5,0.5,0.71,0.5,-0.08,NA,0.13,NA,0.13,NA,Pointsbet,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Anfernee Simons,Portland Trail Blazers,5.5,2.65,1.43,New York Knicks,2024-01-10,0.38,0.7,62,0.29,14,0.5,0.5,0.71,0.5,-0.09,0.01,0.12,-0.2,0.12,-0.2,Unibet,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Anfernee Simons,Portland Trail Blazers,5.5,2.2,NA,New York Knicks,NA,0.45,NA,62,0.29,14,0.5,0.5,0.71,0.5,-0.16,NA,0.05,NA,0.05,NA,Neds,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Anfernee Simons,Portland Trail Blazers,3.5,1.55,NA,New York Knicks,NA,0.65,NA,62,0.6,14,0.79,0.6,0.4,0.21,-0.05,NA,0.14,NA,-0.05,NA,TopSport,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Anfernee Simons,Portland Trail Blazers,3.5,1.52,NA,New York Knicks,NA,0.66,NA,62,0.6,14,0.79,0.6,0.4,0.21,-0.06,NA,0.13,NA,-0.06,NA,TAB,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Anfernee Simons,Portland Trail Blazers,3.5,1.42,2.63,New York Knicks,NA,0.7,0.38,62,0.6,14,0.79,0.6,0.4,0.21,-0.11,0.02,0.08,-0.17,-0.1,0.02,BetRight,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Anfernee Simons,Portland Trail Blazers,3.5,1.4,NA,New York Knicks,NA,0.71,NA,62,0.6,14,0.79,0.6,0.4,0.21,-0.12,NA,0.07,NA,-0.11,NA,Pointsbet,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Anfernee Simons,Portland Trail Blazers,3.5,1.38,NA,New York Knicks,NA,0.72,NA,62,0.6,14,0.79,0.6,0.4,0.21,-0.13,NA,0.06,NA,-0.12,NA,Sportsbet,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Anfernee Simons,Portland Trail Blazers,3.5,1.3,NA,New York Knicks,NA,0.77,NA,62,0.6,14,0.79,0.6,0.4,0.21,-0.17,NA,0.02,NA,-0.17,NA,Neds,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Isaiah Hartenstein,New York Knicks,1.5,1.42,NA,Portland Trail Blazers,NA,0.7,NA,82,0.34,36,0.53,0.8,0.66,0.47,-0.36,NA,-0.18,NA,0.1,NA,Sportsbet,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Isaiah Hartenstein,New York Knicks,1.5,1.42,NA,Portland Trail Blazers,NA,0.7,NA,82,0.34,36,0.53,0.8,0.66,0.47,-0.36,NA,-0.18,NA,0.1,NA,TopSport,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Isaiah Hartenstein,New York Knicks,1.5,1.35,NA,Portland Trail Blazers,NA,0.74,NA,82,0.34,36,0.53,0.8,0.66,0.47,-0.4,NA,-0.21,NA,0.06,NA,TAB,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Isaiah Hartenstein,New York Knicks,1.5,1.31,NA,Portland Trail Blazers,NA,0.76,NA,82,0.34,36,0.53,0.8,0.66,0.47,-0.42,NA,-0.24,NA,0.04,NA,Pointsbet,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Isaiah Hartenstein,New York Knicks,1.5,1.29,NA,Portland Trail Blazers,NA,0.78,NA,82,0.34,36,0.53,0.8,0.66,0.47,-0.43,NA,-0.25,NA,0.02,NA,BetRight,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Isaiah Hartenstein,New York Knicks,1.5,1.26,NA,Portland Trail Blazers,NA,0.79,NA,82,0.34,36,0.53,0.8,0.66,0.47,-0.45,NA,-0.27,NA,0.01,NA,Neds,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player assists,Isaiah Hartenstein,New York Knicks,1.5,1.22,NA,Portland Trail Blazers,NA,0.82,NA,82,0.34,36,0.53,0.8,0.66,0.47,-0.48,NA,-0.29,NA,-0.02,NA,BlueBet,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Jalen Brunson,New York Knicks,7.5,1.9,1.83,Portland Trail Blazers,NA,0.53,0.55,68,0.29,36,0.33,0.5,0.71,0.67,-0.23,0.16,-0.19,0.12,-0.03,-0.05,Pointsbet,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Jalen Brunson,New York Knicks,7.5,1.9,1.85,Portland Trail Blazers,NA,0.53,0.54,68,0.29,36,0.33,0.5,0.71,0.67,-0.23,0.17,-0.19,0.13,-0.03,-0.04,TAB,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Jalen Brunson,New York Knicks,7.5,1.87,NA,Portland Trail Blazers,NA,0.53,NA,68,0.29,36,0.33,0.5,0.71,0.67,-0.24,NA,-0.2,NA,-0.03,NA,Pointsbet,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Jalen Brunson,New York Knicks,7.5,1.86,1.85,Portland Trail Blazers,NA,0.54,0.54,68,0.29,36,0.33,0.5,0.71,0.67,-0.24,0.17,-0.2,0.13,-0.04,-0.04,BetRight,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Jalen Brunson,New York Knicks,7.5,1.86,1.85,Portland Trail Blazers,NA,0.54,0.54,68,0.29,36,0.33,0.5,0.71,0.67,-0.24,0.17,-0.2,0.13,-0.04,-0.04,BetRight,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Jalen Brunson,New York Knicks,7.5,1.84,NA,Portland Trail Blazers,NA,0.54,NA,68,0.29,36,0.33,0.5,0.71,0.67,-0.25,NA,-0.21,NA,-0.04,NA,Sportsbet,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Jalen Brunson,New York Knicks,7.5,1.83,1.93,Portland Trail Blazers,NA,0.55,0.52,68,0.29,36,0.33,0.5,0.71,0.67,-0.25,0.19,-0.21,0.15,-0.05,-0.02,Sportsbet,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Jalen Brunson,New York Knicks,7.5,1.8,NA,Portland Trail Blazers,NA,0.56,NA,68,0.29,36,0.33,0.5,0.71,0.67,-0.26,NA,-0.22,NA,-0.06,NA,TAB,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player assists,Jalen Brunson,New York Knicks,7.5,1.75,NA,Portland Trail Blazers,NA,0.57,NA,68,0.29,36,0.33,0.5,0.71,0.67,-0.28,NA,-0.24,NA,-0.07,NA,BlueBet,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Jalen Brunson,New York Knicks,7.5,1.73,NA,Portland Trail Blazers,NA,0.58,NA,68,0.29,36,0.33,0.5,0.71,0.67,-0.28,NA,-0.24,NA,-0.08,NA,TopSport,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Jalen Brunson,New York Knicks,7.5,1.72,2.05,Portland Trail Blazers,2024-01-10,0.58,0.49,68,0.29,36,0.33,0.5,0.71,0.67,-0.29,0.22,-0.25,0.18,-0.08,0.01,Unibet,0.12
2024-01-09T23:02:14Z,New York Knicks v Portland Trail Blazers,2024-01-10T00:30:00Z,New York Knicks,Portland Trail Blazers,Player Assists,Jalen Brunson,New York Knicks,7.5,1.55,NA,Portland Trail Blazers,NA,0.65,NA,68,0.29,36,0.33,0.5,0.71,0.67,-0.35,NA,-0.31,NA,-0.15,NA,Neds,0.12
2024-01-09T23:02:14Z,Detroit Pistons v Sacramento Kings,2024-01-10T00:00:00Z,Detroit Pistons,Sacramento Kings,Player Assists,Jalen Duren,Detroit Pistons,1.5,1.5,NA,Sacramento Kings,NA,0.67,NA,67,0.34,21,0.71,0.7,0.66,0.29,-0.32,NA,0.05,NA,0.03,NA,TAB,0.12
2024-01-09T23:02:14Z,Detroit Pistons v Sacramento Kings,2024-01-10T00:00:00Z,Detroit Pistons,Sacramento Kings,Player Assists,Jalen Duren,Detroit Pistons,1.5,1.36,NA,Sacramento Kings,NA,0.74,NA,67,0.34,21,0.71,0.7,0.66,0.29,-0.39,NA,-0.02,NA,-0.04,NA,Pointsbet,0.12
2024-01-09T23:02:14Z,Detroit Pistons v Sacramento Kings,2024-01-10T00:00:00Z,Detroit Pistons,Sacramento Kings,Player Assists,Jalen Duren,Detroit Pistons,1.5,1.33,NA,Sacramento Kings,NA,0.75,NA,67,0.34,21,0.71,0.7,0.66,0.29,-0.41,NA,-0.04,NA,-0.05,NA,BetRight,0.12
2024-01-09T23:02:14Z,Detroit Pistons v Sacramento Kings,2024-01-10T00:00:00Z,Detroit Pistons,Sacramento Kings,Player Assists,Jalen Duren,Detroit Pistons,1.5,1.33,NA,Sacramento Kings,NA,0.75,NA,67,0.34,21,0.71,0.7,0.66,0.29,-0.41,NA,-0.04,NA,-0.05,NA,Neds,0.12
2024-01-09T23:02:14Z,Detroit Pistons v Sacramento Kings,2024-01-10T00:00:00Z,Detroit Pistons,Sacramento Kings,Player assists,Jalen Duren,Detroit Pistons,1.5,1.27,NA,Sacramento Kings,NA,0.79,NA,67,0.34,21,0.71,0.7,0.66,0.29,-0.44,NA,-0.07,NA,-0.09,NA,BlueBet,0.12
