timestamp,match,start_time,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders,prop_id,under_prop_id,date,implied_prob_over,implied_prob_under,games_played_2022_2023,empirical_prob_over_2022_23,games_played_2023_2024,empirical_prob_over_2023_24,empirical_prob_last_10,empirical_prob_under_2022_23,empirical_prob_under_2023_24,diff_over_2022_23,diff_under_2022_23,diff_over_2023_24,diff_under_2023_24,diff_over_last_10,diff_under_last_10,agency,variation
2024-01-15T22:44:06Z,Memphis Grizzlies v Golden State Warriors,2024-01-15T23:00:00Z,Memphis Grizzlies,Golden State Warriors,Player Assists,Jacob Gilyard,Memphis Grizzlies,9.5,5.25,NA,Golden State Warriors,16,19476,11621327,411682361,1842172513,NA,NA,NA,NA,0.19,NA,1,0,22,0,0,1,1,-0.19,NA,-0.19,NA,-0.19,NA,Sportsbet,0.18
2024-01-15T22:44:06Z,Memphis Grizzlies v Golden State Warriors,2024-01-15T23:00:00Z,Memphis Grizzlies,Golden State Warriors,Player Assists,Jacob Gilyard,Memphis Grizzlies,9.5,4,NA,Golden State Warriors,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,1,0,22,0,0,1,1,-0.25,NA,-0.25,NA,-0.25,NA,BetRight,0.18
2024-01-15T22:44:06Z,Memphis Grizzlies v Golden State Warriors,2024-01-15T23:00:00Z,Memphis Grizzlies,Golden State Warriors,Player assists,Jacob Gilyard,Memphis Grizzlies,9.5,3.7,NA,Golden State Warriors,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,1,0,22,0,0,1,1,-0.27,NA,-0.27,NA,-0.27,NA,BlueBet,0.18
2024-01-15T22:44:06Z,Memphis Grizzlies v Golden State Warriors,2024-01-15T23:00:00Z,Memphis Grizzlies,Golden State Warriors,Player Assists,Jacob Gilyard,Memphis Grizzlies,9.5,3.3,NA,Golden State Warriors,NA,NA,NA,NA,NA,NA,598812,NA,NA,0.3,NA,1,0,22,0,0,1,1,-0.3,NA,-0.3,NA,-0.3,NA,TAB,0.18
2024-01-15T22:44:06Z,Memphis Grizzlies v Golden State Warriors,2024-01-15T23:00:00Z,Memphis Grizzlies,Golden State Warriors,Player Assists,Jacob Gilyard,Memphis Grizzlies,9.5,3.25,NA,Golden State Warriors,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,1,0,22,0,0,1,1,-0.31,NA,-0.31,NA,-0.31,NA,Pointsbet,0.18
2024-01-15T22:44:06Z,Memphis Grizzlies v Golden State Warriors,2024-01-15T23:00:00Z,Memphis Grizzlies,Golden State Warriors,Player Assists,Jacob Gilyard,Memphis Grizzlies,9.5,3,NA,Golden State Warriors,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,1,0,22,0,0,1,1,-0.33,NA,-0.33,NA,-0.33,NA,TopSport,0.18
2024-01-15T22:44:06Z,Memphis Grizzlies v Golden State Warriors,2024-01-15T23:00:00Z,Memphis Grizzlies,Golden State Warriors,Player Assists,Jacob Gilyard,Memphis Grizzlies,9.5,2.7,NA,Golden State Warriors,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,NA,1,0,22,0,0,1,1,-0.37,NA,-0.37,NA,-0.37,NA,Neds,0.18
2024-01-15T22:44:06Z,Utah Jazz v Indiana Pacers,2024-01-16T02:00:00Z,Utah Jazz,Indiana Pacers,Player Assists,Kelly Olynyk,Utah Jazz,1.5,1.22,NA,Indiana Pacers,NA,NA,NA,NA,NA,NA,600190,NA,NA,0.82,NA,68,0.85,38,0.92,0.8,0.15,0.08,0.03,NA,0.1,NA,-0.02,NA,TAB,0.17000000000000004
2024-01-15T22:44:06Z,Utah Jazz v Indiana Pacers,2024-01-16T02:00:00Z,Utah Jazz,Indiana Pacers,Player Assists,Kelly Olynyk,Utah Jazz,1.5,1.11,5.5,Indiana Pacers,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.18,68,0.85,38,0.92,0.8,0.15,0.08,-0.05,-0.03,0.02,-0.1,-0.1,0.02,BetRight,0.17000000000000004
2024-01-15T22:44:06Z,Utah Jazz v Indiana Pacers,2024-01-16T02:00:00Z,Utah Jazz,Indiana Pacers,Player Assists,Kelly Olynyk,Utah Jazz,1.5,1.1,NA,Indiana Pacers,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,NA,68,0.85,38,0.92,0.8,0.15,0.08,-0.06,NA,0.01,NA,-0.11,NA,Pointsbet,0.17000000000000004
