timestamp,match,start_time,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders,prop_id,under_prop_id,date,implied_prob_over,implied_prob_under,games_played_2022_2023,empirical_prob_over_2022_23,games_played_2023_2024,empirical_prob_over_2023_24,empirical_prob_last_10,empirical_prob_under_2022_23,empirical_prob_under_2023_24,diff_over_2022_23,diff_under_2022_23,diff_over_2023_24,diff_under_2023_24,diff_over_last_10,diff_under_last_10,agency,variation
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Keegan Murray,Sacramento Kings,1.5,2.5,1.5,Phoenix Suns,NA,NA,NA,NA,NA,NA,551338,551339,NA,0.4,0.67,80,0.35,35,0.43,0.4,0.65,0.57,-0.05,-0.02,0.03,-0.1,0,-0.07,TAB,0.16000000000000003
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Keegan Murray,Sacramento Kings,1.5,2.3,NA,Phoenix Suns,NA,NA,NA,NA,NA,NA,639278,NA,NA,0.43,NA,80,0.35,35,0.43,0.4,0.65,0.57,-0.08,NA,-0.01,NA,-0.03,NA,TAB,0.16000000000000003
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Keegan Murray,Sacramento Kings,1.5,1.78,NA,Phoenix Suns,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA,80,0.35,35,0.43,0.4,0.65,0.57,-0.21,NA,-0.13,NA,-0.16,NA,Neds,0.16000000000000003
2024-01-16T23:03:48Z,Los Angeles Clippers v Oklahoma City Thunder,2024-01-17T03:00:00Z,Los Angeles Clippers,Oklahoma City Thunder,Player Assists,Terance Mann,Los Angeles Clippers,1.5,2.5,1.5,Oklahoma City Thunder,NA,NA,NA,NA,NA,NA,566984,566985,NA,0.4,0.67,81,0.65,32,0.47,0.3,0.35,0.53,0.25,-0.32,0.07,-0.14,-0.1,0.03,TAB,0.16000000000000003
2024-01-16T23:03:48Z,Los Angeles Clippers v Oklahoma City Thunder,2024-01-17T03:00:00Z,Los Angeles Clippers,Oklahoma City Thunder,Player Assists,Terance Mann,Los Angeles Clippers,1.5,2.3,NA,Oklahoma City Thunder,NA,NA,NA,NA,NA,NA,639647,NA,NA,0.43,NA,81,0.65,32,0.47,0.3,0.35,0.53,0.22,NA,0.03,NA,-0.13,NA,TAB,0.16000000000000003
2024-01-16T23:03:48Z,Los Angeles Clippers v Oklahoma City Thunder,2024-01-17T03:00:00Z,Los Angeles Clippers,Oklahoma City Thunder,Player Assists,Terance Mann,Los Angeles Clippers,1.5,1.8,NA,Oklahoma City Thunder,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA,81,0.65,32,0.47,0.3,0.35,0.53,0.1,NA,-0.09,NA,-0.26,NA,Neds,0.16000000000000003
2024-01-16T23:03:48Z,Philadelphia 76ers v Denver Nuggets,2024-01-17T00:30:00Z,Philadelphia 76ers,Denver Nuggets,Player Assists,Kentavious Caldwell-Pope,Denver Nuggets,1.5,1.72,2.05,Philadelphia 76ers,NA,NA,NA,NA,NA,NA,657448,657449,NA,0.58,0.49,76,0.66,38,0.71,0.7,0.34,0.29,0.08,-0.15,0.13,-0.2,0.12,-0.19,TAB,0.14
2024-01-16T23:03:48Z,Philadelphia 76ers v Denver Nuggets,2024-01-17T00:30:00Z,Philadelphia 76ers,Denver Nuggets,Player Assists,Kentavious Caldwell-Pope,Denver Nuggets,1.5,1.7,NA,Philadelphia 76ers,NA,NA,NA,NA,NA,NA,638909,NA,NA,0.59,NA,76,0.66,38,0.71,0.7,0.34,0.29,0.07,NA,0.12,NA,0.11,NA,TAB,0.14
2024-01-16T23:03:48Z,Philadelphia 76ers v Denver Nuggets,2024-01-17T00:30:00Z,Philadelphia 76ers,Denver Nuggets,Player Assists,Kentavious Caldwell-Pope,Denver Nuggets,1.5,1.38,NA,Philadelphia 76ers,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,NA,76,0.66,38,0.71,0.7,0.34,0.29,-0.07,NA,-0.01,NA,-0.02,NA,Neds,0.14
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Kevin Huerter,Sacramento Kings,3.5,3.3,NA,Phoenix Suns,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,75,0.35,37,0.22,0.1,0.65,0.78,0.04,NA,-0.09,NA,-0.2,NA,Pointsbet,0.13
