timestamp,match,start_time,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,opposition_team,group_by_header,outcome_name,outcome_name_under,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders,date,implied_prob_over,implied_prob_under,games_played_2022_2023,empirical_prob_over_2022_23,games_played_2023_2024,empirical_prob_over_2023_24,empirical_prob_last_10,empirical_prob_under_2022_23,empirical_prob_under_2023_24,diff_over_2022_23,diff_under_2022_23,diff_over_2023_24,diff_under_2023_24,diff_over_last_10,diff_under_last_10,agency,variation
2024-02-16T00:54:41Z,Utah Jazz v Golden State Warriors,2024-02-16T02:00:00Z,Utah Jazz,Golden State Warriors,Player Assists,Jonathan Kuminga,Golden State Warriors,3.5,2.5,NA,Utah Jazz,Player Assists - Jonathan Kuminga (GS),Jonathan Kuminga 4+,NA,NA,NA,NA,NA,NA,0.4,NA,67,0.16,51,0.18,0.4,0.84,0.82,-0.24,NA,-0.22,NA,0,NA,BetRight,0.09999999999999998
2024-02-16T00:54:41Z,Utah Jazz v Golden State Warriors,2024-02-16T02:00:00Z,Utah Jazz,Golden State Warriors,Player Assists,Jonathan Kuminga,Golden State Warriors,3.5,2.4,NA,Utah Jazz,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,67,0.16,51,0.18,0.4,0.84,0.82,-0.25,NA,-0.24,NA,-0.02,NA,TAB,0.09999999999999998
2024-02-16T00:54:41Z,Utah Jazz v Golden State Warriors,2024-02-16T02:00:00Z,Utah Jazz,Golden State Warriors,Player assists,Jonathan Kuminga,Golden State Warriors,3.5,2.35,NA,Utah Jazz,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,67,0.16,51,0.18,0.4,0.84,0.82,-0.26,NA,-0.25,NA,-0.03,NA,BlueBet,0.09999999999999998
2024-02-16T00:54:41Z,Utah Jazz v Golden State Warriors,2024-02-16T02:00:00Z,Utah Jazz,Golden State Warriors,Player Assists,Jonathan Kuminga,Golden State Warriors,3.5,2.1,NA,Utah Jazz,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,67,0.16,51,0.18,0.4,0.84,0.82,-0.31,NA,-0.3,NA,-0.08,NA,TopSport,0.09999999999999998
2024-02-16T00:54:41Z,Portland Trail Blazers v Minnesota Timberwolves,2024-02-16T03:00:00Z,Portland Trail Blazers,Minnesota Timberwolves,Player Assists,Mike Conley,Minnesota Timberwolves,7.5,2.9,NA,Portland Trail Blazers,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,67,0.39,49,0.37,0.5,0.61,0.63,0.04,NA,0.02,NA,0.16,NA,Sportsbet,0.09999999999999998
2024-02-16T00:54:41Z,Portland Trail Blazers v Minnesota Timberwolves,2024-02-16T03:00:00Z,Portland Trail Blazers,Minnesota Timberwolves,Player Assists,Mike Conley,Minnesota Timberwolves,7.5,2.9,NA,Portland Trail Blazers,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,67,0.39,49,0.37,0.5,0.61,0.63,0.04,NA,0.02,NA,0.16,NA,Sportsbet,0.09999999999999998
2024-02-16T00:54:41Z,Portland Trail Blazers v Minnesota Timberwolves,2024-02-16T03:00:00Z,Portland Trail Blazers,Minnesota Timberwolves,Player Assists,Mike Conley,Minnesota Timberwolves,7.5,2.7,NA,Portland Trail Blazers,NA,NA,NA,1770531,52549397,4,NA,NA,0.37,NA,67,0.39,49,0.37,0.5,0.61,0.63,0.02,NA,-0,NA,0.13,NA,Pointsbet,0.09999999999999998
2024-02-16T00:54:41Z,Portland Trail Blazers v Minnesota Timberwolves,2024-02-16T03:00:00Z,Portland Trail Blazers,Minnesota Timberwolves,Player Assists,Mike Conley,Minnesota Timberwolves,7.5,2.7,1.43,Portland Trail Blazers,NA,NA,NA,NA,NA,NA,NA,2024-02-16,0.37,0.7,67,0.39,49,0.37,0.5,0.61,0.63,0.02,-0.09,-0,-0.07,0.13,-0.2,Unibet,0.09999999999999998
2024-02-16T00:54:41Z,Portland Trail Blazers v Minnesota Timberwolves,2024-02-16T03:00:00Z,Portland Trail Blazers,Minnesota Timberwolves,Player Assists,Mike Conley,Minnesota Timberwolves,7.5,2.5,1.46,Portland Trail Blazers,Player Assists Over/Under 7.5 - Mike Conley (MIN),Mike Conley Over 7.5,Mike Conley Under 7.5,NA,NA,NA,NA,NA,0.4,0.68,67,0.39,49,0.37,0.5,0.61,0.63,-0.01,-0.07,-0.03,-0.05,0.1,-0.18,BetRight,0.09999999999999998
2024-02-16T00:54:41Z,Portland Trail Blazers v Minnesota Timberwolves,2024-02-16T03:00:00Z,Portland Trail Blazers,Minnesota Timberwolves,Player Assists,Mike Conley,Minnesota Timberwolves,7.5,2.5,NA,Portland Trail Blazers,Player Assists - Mike Conley (MIN),Mike Conley 8+,NA,NA,NA,NA,NA,NA,0.4,NA,67,0.39,49,0.37,0.5,0.61,0.63,-0.01,NA,-0.03,NA,0.1,NA,BetRight,0.09999999999999998
2024-02-16T00:54:41Z,Portland Trail Blazers v Minnesota Timberwolves,2024-02-16T03:00:00Z,Portland Trail Blazers,Minnesota Timberwolves,Player assists,Mike Conley,Minnesota Timberwolves,7.5,2.35,NA,Portland Trail Blazers,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,67,0.39,49,0.37,0.5,0.61,0.63,-0.04,NA,-0.06,NA,0.07,NA,BlueBet,0.09999999999999998
2024-02-16T00:54:41Z,Portland Trail Blazers v Minnesota Timberwolves,2024-02-16T03:00:00Z,Portland Trail Blazers,Minnesota Timberwolves,Player Assists,Mike Conley,Minnesota Timberwolves,7.5,2.25,NA,Portland Trail Blazers,NA,NA,NA,NA,NA,NA,NA,NA,0.44,NA,67,0.39,49,0.37,0.5,0.61,0.63,-0.06,NA,-0.08,NA,0.06,NA,TAB,0.09999999999999998
2024-02-16T00:54:41Z,Utah Jazz v Golden State Warriors,2024-02-16T02:00:00Z,Utah Jazz,Golden State Warriors,Player Assists,Jordan Clarkson,Utah Jazz,3.5,1.68,NA,Golden State Warriors,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,61,0.56,44,0.68,0.5,0.44,0.32,-0.04,NA,0.09,NA,-0.1,NA,TopSport,0.08999999999999997
2024-02-16T00:54:41Z,Utah Jazz v Golden State Warriors,2024-02-16T02:00:00Z,Utah Jazz,Golden State Warriors,Player Assists,Jordan Clarkson,Utah Jazz,3.5,1.65,NA,Golden State Warriors,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,61,0.56,44,0.68,0.5,0.44,0.32,-0.05,NA,0.08,NA,-0.11,NA,TAB,0.08999999999999997
