timestamp,match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency,player_name,player_team,line,over_price,opposition_team,under_price,total_points_line
2023-10-28T14:14:24Z,Charlotte Hornets v Detroit Pistons,2023-10-27T23:00:00Z,Head To Head,Charlotte Hornets,1.58,Detroit Pistons,2.4,1.05,Bluebet,NA,NA,NA,NA,NA,NA,NA
2023-10-28T14:14:24Z,Memphis Grizzlies v Denver Nuggets,2023-10-27T23:00:00Z,Head To Head,Memphis Grizzlies,2.85,Denver Nuggets,1.42,1.055,Bluebet,NA,NA,NA,NA,NA,NA,NA
2023-10-28T14:14:24Z,Atlanta Hawks v New York Knicks,2023-10-27T23:30:00Z,Head To Head,Atlanta Hawks,1.82,New York Knicks,2,1.049,Bluebet,NA,NA,NA,NA,NA,NA,NA
2023-10-28T14:14:24Z,Cleveland Cavaliers v Oklahoma City Thunder,2023-10-27T23:30:00Z,Head To Head,Cleveland Cavaliers,1.68,Oklahoma City Thunder,2.2,1.05,Bluebet,NA,NA,NA,NA,NA,NA,NA
2023-10-28T14:14:24Z,Boston Celtics v Miami Heat,2023-10-27T23:30:00Z,Head To Head,Boston Celtics,1.27,Miami Heat,3.81,1.05,Bluebet,NA,NA,NA,NA,NA,NA,NA
2023-10-28T14:14:24Z,Chicago Bulls v Toronto Raptors,2023-10-28T00:00:00Z,Head To Head,Chicago Bulls,1.74,Toronto Raptors,2.1,1.051,Bluebet,NA,NA,NA,NA,NA,NA,NA
2023-10-28T14:14:24Z,San Antonio Spurs v Houston Rockets,2023-10-28T00:00:00Z,Head To Head,San Antonio Spurs,1.74,Houston Rockets,2.1,1.051,Bluebet,NA,NA,NA,NA,NA,NA,NA
2023-10-28T14:14:24Z,Dallas Mavericks v Brooklyn Nets,2023-10-28T00:30:00Z,Head To Head,Dallas Mavericks,1.43,Brooklyn Nets,2.85,1.05,Bluebet,NA,NA,NA,NA,NA,NA,NA
2023-10-28T14:14:24Z,Utah Jazz v Los Angeles Clippers,2023-10-28T01:30:00Z,Head To Head,Utah Jazz,2.35,Los Angeles Clippers,1.6,1.051,Bluebet,NA,NA,NA,NA,NA,NA,NA
2023-10-28T14:14:24Z,Portland Trail Blazers v Orlando Magic,2023-10-28T02:00:00Z,Head To Head,Portland Trail Blazers,2.2,Orlando Magic,1.68,1.05,Bluebet,NA,NA,NA,NA,NA,NA,NA
